run_id,paired_group,pair_group_id,comparison_arm,campaign,model,variant,variant_name,kem_level,target_prr,mean_bad_burst,p_gb,p_bg,forced_loss,forced_loss_mode,forced_loss_layer,forced_loss_after_radio_channel,forced_loss_source_id,forced_loss_destination_id,forced_loss_target_tag,forced_loss_last_sequence,rfrag_fragment_size,seed,repetition,timeout_s,mac_max_retries,max_application_retries,data_origin
A-kem512-fixed-prr1p00-rep01-seed200001-v1,A-kem512-fixed-prr1p00-rep01-seed200001,A-kem512-fixed-prr1p00-rep01-seed200001,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200001,1,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep01-seed200001-v2,A-kem512-fixed-prr1p00-rep01-seed200001,A-kem512-fixed-prr1p00-rep01-seed200001,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200001,1,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep02-seed200002-v1,A-kem512-fixed-prr1p00-rep02-seed200002,A-kem512-fixed-prr1p00-rep02-seed200002,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200002,2,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep02-seed200002-v2,A-kem512-fixed-prr1p00-rep02-seed200002,A-kem512-fixed-prr1p00-rep02-seed200002,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200002,2,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep03-seed200003-v1,A-kem512-fixed-prr1p00-rep03-seed200003,A-kem512-fixed-prr1p00-rep03-seed200003,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200003,3,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep03-seed200003-v2,A-kem512-fixed-prr1p00-rep03-seed200003,A-kem512-fixed-prr1p00-rep03-seed200003,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200003,3,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep04-seed200004-v1,A-kem512-fixed-prr1p00-rep04-seed200004,A-kem512-fixed-prr1p00-rep04-seed200004,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200004,4,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep04-seed200004-v2,A-kem512-fixed-prr1p00-rep04-seed200004,A-kem512-fixed-prr1p00-rep04-seed200004,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200004,4,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep05-seed200005-v1,A-kem512-fixed-prr1p00-rep05-seed200005,A-kem512-fixed-prr1p00-rep05-seed200005,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200005,5,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep05-seed200005-v2,A-kem512-fixed-prr1p00-rep05-seed200005,A-kem512-fixed-prr1p00-rep05-seed200005,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200005,5,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep06-seed200006-v1,A-kem512-fixed-prr1p00-rep06-seed200006,A-kem512-fixed-prr1p00-rep06-seed200006,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200006,6,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep06-seed200006-v2,A-kem512-fixed-prr1p00-rep06-seed200006,A-kem512-fixed-prr1p00-rep06-seed200006,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200006,6,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep07-seed200007-v1,A-kem512-fixed-prr1p00-rep07-seed200007,A-kem512-fixed-prr1p00-rep07-seed200007,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200007,7,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep07-seed200007-v2,A-kem512-fixed-prr1p00-rep07-seed200007,A-kem512-fixed-prr1p00-rep07-seed200007,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200007,7,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep08-seed200008-v1,A-kem512-fixed-prr1p00-rep08-seed200008,A-kem512-fixed-prr1p00-rep08-seed200008,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200008,8,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep08-seed200008-v2,A-kem512-fixed-prr1p00-rep08-seed200008,A-kem512-fixed-prr1p00-rep08-seed200008,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200008,8,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep09-seed200009-v1,A-kem512-fixed-prr1p00-rep09-seed200009,A-kem512-fixed-prr1p00-rep09-seed200009,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200009,9,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep09-seed200009-v2,A-kem512-fixed-prr1p00-rep09-seed200009,A-kem512-fixed-prr1p00-rep09-seed200009,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200009,9,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep10-seed200010-v1,A-kem512-fixed-prr1p00-rep10-seed200010,A-kem512-fixed-prr1p00-rep10-seed200010,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200010,10,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep10-seed200010-v2,A-kem512-fixed-prr1p00-rep10-seed200010,A-kem512-fixed-prr1p00-rep10-seed200010,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200010,10,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep11-seed200011-v1,A-kem512-fixed-prr1p00-rep11-seed200011,A-kem512-fixed-prr1p00-rep11-seed200011,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200011,11,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep11-seed200011-v2,A-kem512-fixed-prr1p00-rep11-seed200011,A-kem512-fixed-prr1p00-rep11-seed200011,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200011,11,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep12-seed200012-v1,A-kem512-fixed-prr1p00-rep12-seed200012,A-kem512-fixed-prr1p00-rep12-seed200012,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200012,12,240,0,0,COOJA_SIMULATION
