model,variant,kem_level,target_prr,mean_bad_burst,p_gb,p_bg,seed,repetition,timeout_s,mac_max_retries,data_origin
fixed,1,512,1.0,,,,200001,1,240,0,COOJA_SIMULATION
fixed,1,512,1.0,,,,200002,2,240,0,COOJA_SIMULATION
fixed,1,512,1.0,,,,200003,3,240,0,COOJA_SIMULATION
fixed,1,512,0.95,,,,200001,1,240,0,COOJA_SIMULATION
fixed,1,512,0.95,,,,200002,2,240,0,COOJA_SIMULATION
fixed,1,512,0.95,,,,200003,3,240,0,COOJA_SIMULATION
fixed,1,512,0.9,,,,200001,1,240,0,COOJA_SIMULATION
fixed,1,512,0.9,,,,200002,2,240,0,COOJA_SIMULATION
fixed,1,512,0.9,,,,200003,3,240,0,COOJA_SIMULATION
fixed,1,512,0.85,,,,200001,1,240,0,COOJA_SIMULATION
fixed,1,512,0.85,,,,200002,2,240,0,COOJA_SIMULATION
fixed,1,512,0.85,,,,200003,3,240,0,COOJA_SIMULATION
fixed,1,512,0.5,,,,200001,1,240,0,COOJA_SIMULATION
fixed,1,512,0.5,,,,200002,2,240,0,COOJA_SIMULATION
fixed,1,512,0.5,,,,200003,3,240,0,COOJA_SIMULATION
gilbert,1,512,0.95,2.0,0.0263157895,0.5,200001,1,240,0,COOJA_SIMULATION
gilbert,1,512,0.95,2.0,0.0263157895,0.5,200002,2,240,0,COOJA_SIMULATION
gilbert,1,512,0.95,2.0,0.0263157895,0.5,200003,3,240,0,COOJA_SIMULATION
gilbert,1,512,0.95,5.0,0.0105263158,0.2,200001,1,240,0,COOJA_SIMULATION
gilbert,1,512,0.95,5.0,0.0105263158,0.2,200002,2,240,0,COOJA_SIMULATION
gilbert,1,512,0.95,5.0,0.0105263158,0.2,200003,3,240,0,COOJA_SIMULATION
gilbert,1,512,0.95,10.0,0.0052631579,0.1,200001,1,240,0,COOJA_SIMULATION
gilbert,1,512,0.95,10.0,0.0052631579,0.1,200002,2,240,0,COOJA_SIMULATION
gilbert,1,512,0.95,10.0,0.0052631579,0.1,200003,3,240,0,COOJA_SIMULATION
gilbert,1,512,0.9,2.0,0.0555555556,0.5,200001,1,240,0,COOJA_SIMULATION
gilbert,1,512,0.9,2.0,0.0555555556,0.5,200002,2,240,0,COOJA_SIMULATION
gilbert,1,512,0.9,2.0,0.0555555556,0.5,200003,3,240,0,COOJA_SIMULATION
gilbert,1,512,0.9,5.0,0.0222222222,0.2,200001,1,240,0,COOJA_SIMULATION
gilbert,1,512,0.9,5.0,0.0222222222,0.2,200002,2,240,0,COOJA_SIMULATION
gilbert,1,512,0.9,5.0,0.0222222222,0.2,200003,3,240,0,COOJA_SIMULATION
gilbert,1,512,0.9,10.0,0.0111111111,0.1,200001,1,240,0,COOJA_SIMULATION
gilbert,1,512,0.9,10.0,0.0111111111,0.1,200002,2,240,0,COOJA_SIMULATION
gilbert,1,512,0.9,10.0,0.0111111111,0.1,200003,3,240,0,COOJA_SIMULATION
gilbert,1,512,0.85,2.0,0.0882352941,0.5,200001,1,240,0,COOJA_SIMULATION
gilbert,1,512,0.85,2.0,0.0882352941,0.5,200002,2,240,0,COOJA_SIMULATION
gilbert,1,512,0.85,2.0,0.0882352941,0.5,200003,3,240,0,COOJA_SIMULATION
gilbert,1,512,0.85,5.0,0.0352941176,0.2,200001,1,240,0,COOJA_SIMULATION
gilbert,1,512,0.85,5.0,0.0352941176,0.2,200002,2,240,0,COOJA_SIMULATION
gilbert,1,512,0.85,5.0,0.0352941176,0.2,200003,3,240,0,COOJA_SIMULATION
gilbert,1,512,0.85,10.0,0.0176470588,0.1,200001,1,240,0,COOJA_SIMULATION
gilbert,1,512,0.85,10.0,0.0176470588,0.1,200002,2,240,0,COOJA_SIMULATION
gilbert,1,512,0.85,10.0,0.0176470588,0.1,200003,3,240,0,COOJA_SIMULATION
gilbert,1,512,0.5,2.0,0.5,0.5,200001,1,240,0,COOJA_SIMULATION
gilbert,1,512,0.5,2.0,0.5,0.5,200002,2,240,0,COOJA_SIMULATION
gilbert,1,512,0.5,2.0,0.5,0.5,200003,3,240,0,COOJA_SIMULATION
gilbert,1,512,0.5,5.0,0.2,0.2,200001,1,240,0,COOJA_SIMULATION
gilbert,1,512,0.5,5.0,0.2,0.2,200002,2,240,0,COOJA_SIMULATION
gilbert,1,512,0.5,5.0,0.2,0.2,200003,3,240,0,COOJA_SIMULATION
gilbert,1,512,0.5,10.0,0.1,0.1,200001,1,240,0,COOJA_SIMULATION
gilbert,1,512,0.5,10.0,0.1,0.1,200002,2,240,0,COOJA_SIMULATION
gilbert,1,512,0.5,10.0,0.1,0.1,200003,3,240,0,COOJA_SIMULATION
fixed,2,512,1.0,,,,200001,1,240,0,COOJA_SIMULATION
fixed,2,512,1.0,,,,200002,2,240,0,COOJA_SIMULATION
fixed,2,512,1.0,,,,200003,3,240,0,COOJA_SIMULATION
