run_id,paired_group,pair_group_id,comparison_arm,campaign,model,variant,variant_name,kem_level,target_prr,mean_bad_burst,p_gb,p_bg,forced_loss,forced_loss_mode,forced_loss_layer,forced_loss_after_radio_channel,forced_loss_source_id,forced_loss_destination_id,forced_loss_target_tag,forced_loss_last_sequence,rfrag_fragment_size,seed,repetition,timeout_s,mac_max_retries,max_application_retries,data_origin
A-kem512-fixed-prr1p00-rep01-seed200001-v1,A-kem512-fixed-prr1p00-rep01-seed200001,A-kem512-fixed-prr1p00-rep01-seed200001,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200001,1,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep01-seed200001-v2,A-kem512-fixed-prr1p00-rep01-seed200001,A-kem512-fixed-prr1p00-rep01-seed200001,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200001,1,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep02-seed200002-v1,A-kem512-fixed-prr1p00-rep02-seed200002,A-kem512-fixed-prr1p00-rep02-seed200002,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200002,2,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep02-seed200002-v2,A-kem512-fixed-prr1p00-rep02-seed200002,A-kem512-fixed-prr1p00-rep02-seed200002,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200002,2,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep03-seed200003-v1,A-kem512-fixed-prr1p00-rep03-seed200003,A-kem512-fixed-prr1p00-rep03-seed200003,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,1.0,,,,none,0,none,0,2,1,0,8,96,200003,3,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr1p00-rep03-seed200003-v2,A-kem512-fixed-prr1p00-rep03-seed200003,A-kem512-fixed-prr1p00-rep03-seed200003,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,1.0,,,,none,0,none,0,2,1,0,8,96,200003,3,240,0,0,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep01-seed200001-v3,B-kem512-fixed-prr1p00-loss1-rep01-seed200001,B-kem512-fixed-prr1p00-loss1-rep01-seed200001,V1,B_V1_V2_FIRST_LOSS,fixed,3,V1_RFRAG_INITIAL_FINAL_ACK,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200001,1,360,0,0,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep01-seed200001-v4,B-kem512-fixed-prr1p00-loss1-rep01-seed200001,B-kem512-fixed-prr1p00-loss1-rep01-seed200001,V2,B_V1_V2_FIRST_LOSS,fixed,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200001,1,360,0,1,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep02-seed200002-v3,B-kem512-fixed-prr1p00-loss1-rep02-seed200002,B-kem512-fixed-prr1p00-loss1-rep02-seed200002,V1,B_V1_V2_FIRST_LOSS,fixed,3,V1_RFRAG_INITIAL_FINAL_ACK,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200002,2,360,0,0,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep02-seed200002-v4,B-kem512-fixed-prr1p00-loss1-rep02-seed200002,B-kem512-fixed-prr1p00-loss1-rep02-seed200002,V2,B_V1_V2_FIRST_LOSS,fixed,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200002,2,360,0,1,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep03-seed200003-v3,B-kem512-fixed-prr1p00-loss1-rep03-seed200003,B-kem512-fixed-prr1p00-loss1-rep03-seed200003,V1,B_V1_V2_FIRST_LOSS,fixed,3,V1_RFRAG_INITIAL_FINAL_ACK,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200003,3,360,0,0,COOJA_SIMULATION
B-kem512-fixed-prr1p00-loss1-rep03-seed200003-v4,B-kem512-fixed-prr1p00-loss1-rep03-seed200003,B-kem512-fixed-prr1p00-loss1-rep03-seed200003,V2,B_V1_V2_FIRST_LOSS,fixed,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,1.0,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200003,3,360,0,1,COOJA_SIMULATION
A-kem512-fixed-prr0p95-rep01-seed200001-v1,A-kem512-fixed-prr0p95-rep01-seed200001,A-kem512-fixed-prr0p95-rep01-seed200001,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,0.95,,,,none,0,none,0,2,1,0,8,96,200001,1,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr0p95-rep01-seed200001-v2,A-kem512-fixed-prr0p95-rep01-seed200001,A-kem512-fixed-prr0p95-rep01-seed200001,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,0.95,,,,none,0,none,0,2,1,0,8,96,200001,1,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr0p95-rep02-seed200002-v1,A-kem512-fixed-prr0p95-rep02-seed200002,A-kem512-fixed-prr0p95-rep02-seed200002,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,0.95,,,,none,0,none,0,2,1,0,8,96,200002,2,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr0p95-rep02-seed200002-v2,A-kem512-fixed-prr0p95-rep02-seed200002,A-kem512-fixed-prr0p95-rep02-seed200002,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,0.95,,,,none,0,none,0,2,1,0,8,96,200002,2,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr0p95-rep03-seed200003-v1,A-kem512-fixed-prr0p95-rep03-seed200003,A-kem512-fixed-prr0p95-rep03-seed200003,B1,A_B1_VS_B2,fixed,1,B1_RFC4944_NO_RECOVERY,512,0.95,,,,none,0,none,0,2,1,0,8,96,200003,3,240,0,0,COOJA_SIMULATION
A-kem512-fixed-prr0p95-rep03-seed200003-v2,A-kem512-fixed-prr0p95-rep03-seed200003,A-kem512-fixed-prr0p95-rep03-seed200003,B2,A_B1_VS_B2,fixed,2,B2_RFRAG_FINAL_ACK,512,0.95,,,,none,0,none,0,2,1,0,8,96,200003,3,240,0,0,COOJA_SIMULATION
B-kem512-fixed-prr0p95-loss1-rep01-seed200001-v3,B-kem512-fixed-prr0p95-loss1-rep01-seed200001,B-kem512-fixed-prr0p95-loss1-rep01-seed200001,V1,B_V1_V2_FIRST_LOSS,fixed,3,V1_RFRAG_INITIAL_FINAL_ACK,512,0.95,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200001,1,360,0,0,COOJA_SIMULATION
B-kem512-fixed-prr0p95-loss1-rep01-seed200001-v4,B-kem512-fixed-prr0p95-loss1-rep01-seed200001,B-kem512-fixed-prr0p95-loss1-rep01-seed200001,V2,B_V1_V2_FIRST_LOSS,fixed,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,0.95,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200001,1,360,0,1,COOJA_SIMULATION
B-kem512-fixed-prr0p95-loss1-rep02-seed200002-v3,B-kem512-fixed-prr0p95-loss1-rep02-seed200002,B-kem512-fixed-prr0p95-loss1-rep02-seed200002,V1,B_V1_V2_FIRST_LOSS,fixed,3,V1_RFRAG_INITIAL_FINAL_ACK,512,0.95,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,200002,2,360,0,0,COOJA_SIMULATION
