run_id,paired_group,campaign,data_origin,kem_level,variant,model,target_prr,mean_bad_burst,forced_loss,seed,forced_loss_validation,forced_loss_application,precondition_not_reached,targeted_test_reached,raw_log_path,raw_log_sha256,log_size_bytes,log_line_count,parse_status,run_success,result_class
A-kem512-fixed-prr0p50-rep01-seed200001-v1,A-kem512-fixed-prr0p50-rep01-seed200001,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200001,valid,none,,,runs/A-kem512-fixed-prr0p50-rep01-seed200001-v1/cooja.log,5851319346b5d6166d3c83977d4699a28e87cb81ff1518e1f0959ea8b7f51b5e,12111,121,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep01-seed200001-v2,A-kem512-fixed-prr0p50-rep01-seed200001,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200001,valid,none,,,runs/A-kem512-fixed-prr0p50-rep01-seed200001-v2/cooja.log,db3e681ef2fa24436f280ce815b77a2d67413033ab9f7e446f5470edf5e35d30,16632,167,success,1,SUCCESS
A-kem512-fixed-prr0p50-rep02-seed200002-v1,A-kem512-fixed-prr0p50-rep02-seed200002,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200002,valid,none,,,runs/A-kem512-fixed-prr0p50-rep02-seed200002-v1/cooja.log,a5b5a55df6eeac07ba801ec50a5bff68ef1d9d1f92fdec4dd8b16ea269205b93,11089,111,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep02-seed200002-v2,A-kem512-fixed-prr0p50-rep02-seed200002,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200002,valid,none,,,runs/A-kem512-fixed-prr0p50-rep02-seed200002-v2/cooja.log,97f00f9369007f7ac89bd53605b1ea2216594fd0498cb5409fb084e73145f6fb,11323,113,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep03-seed200003-v1,A-kem512-fixed-prr0p50-rep03-seed200003,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200003,valid,none,,,runs/A-kem512-fixed-prr0p50-rep03-seed200003-v1/cooja.log,abb1298644446d0b5d1cb5adef4d912c2eb4b6d563a4c026df7975f11bc4eb08,14608,149,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep03-seed200003-v2,A-kem512-fixed-prr0p50-rep03-seed200003,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200003,valid,none,,,runs/A-kem512-fixed-prr0p50-rep03-seed200003-v2/cooja.log,c0ff22b0bab37cdfa7816c79de389610a3033e1eae92effe76d1e25c56d02367,15365,153,success,1,SUCCESS
A-kem512-fixed-prr0p50-rep04-seed200004-v1,A-kem512-fixed-prr0p50-rep04-seed200004,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200004,valid,none,,,runs/A-kem512-fixed-prr0p50-rep04-seed200004-v1/cooja.log,5845d0238a8d740aba113b8d1f3ca978182497224358e263977924225c9636df,11811,120,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep04-seed200004-v2,A-kem512-fixed-prr0p50-rep04-seed200004,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200004,valid,none,,,runs/A-kem512-fixed-prr0p50-rep04-seed200004-v2/cooja.log,ac22c6a882e41dcc4b0de5e96c13c839c7560f3015000aa3aaebe9b30d8dfe51,12045,122,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep05-seed200005-v1,A-kem512-fixed-prr0p50-rep05-seed200005,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200005,valid,none,,,runs/A-kem512-fixed-prr0p50-rep05-seed200005-v1/cooja.log,92ae1a314be1ebcdaa6976895ae8f7c34388ef81bb91a7f0267e870741f1b02b,13981,144,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep05-seed200005-v2,A-kem512-fixed-prr0p50-rep05-seed200005,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200005,valid,none,,,runs/A-kem512-fixed-prr0p50-rep05-seed200005-v2/cooja.log,7e57395321c3d0c0fd7d1388f028515203687ffaa49a9efb1c17f5090321bbbe,14215,146,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep06-seed200006-v1,A-kem512-fixed-prr0p50-rep06-seed200006,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200006,valid,none,,,runs/A-kem512-fixed-prr0p50-rep06-seed200006-v1/cooja.log,70fafbb37dbd38343da49000da02d7ea49132beca7504d3189f4b90f112d6893,14099,141,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep06-seed200006-v2,A-kem512-fixed-prr0p50-rep06-seed200006,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200006,valid,none,,,runs/A-kem512-fixed-prr0p50-rep06-seed200006-v2/cooja.log,1bc093288f881a14ae877e8cc6d6bebe6b9fda8f70fa6331348fe4202cfda0bc,16023,160,success,1,SUCCESS
A-kem512-fixed-prr0p50-rep07-seed200007-v1,A-kem512-fixed-prr0p50-rep07-seed200007,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200007,valid,none,,,runs/A-kem512-fixed-prr0p50-rep07-seed200007-v1/cooja.log,bfedf97b58713175f3ca4eafc460aae1b6774a83be64ea8057bac440fa5c8a2e,12907,132,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep07-seed200007-v2,A-kem512-fixed-prr0p50-rep07-seed200007,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200007,valid,none,,,runs/A-kem512-fixed-prr0p50-rep07-seed200007-v2/cooja.log,2fe06c3df8f443455a851f9628275b9dc81444deee979d3e0360ab7aecb2d021,13141,134,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep08-seed200008-v1,A-kem512-fixed-prr0p50-rep08-seed200008,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200008,valid,none,,,runs/A-kem512-fixed-prr0p50-rep08-seed200008-v1/cooja.log,9a074c71fbcd99ae53b4387455050e92c5dc9ded46e5042bfd2b00428adc054a,15432,158,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep08-seed200008-v2,A-kem512-fixed-prr0p50-rep08-seed200008,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200008,valid,none,,,runs/A-kem512-fixed-prr0p50-rep08-seed200008-v2/cooja.log,4c05bd3d8218f8dd6f33b3fd95e5091c3280a8360f81d364350cd0d96ae59e71,15751,157,success,1,SUCCESS
A-kem512-fixed-prr0p50-rep09-seed200009-v1,A-kem512-fixed-prr0p50-rep09-seed200009,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200009,valid,none,,,runs/A-kem512-fixed-prr0p50-rep09-seed200009-v1/cooja.log,bcab6ec9f03ccf0d4852512ed0d57b620bbd196af59e7598f832a94b2ccc4b04,12717,130,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep09-seed200009-v2,A-kem512-fixed-prr0p50-rep09-seed200009,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200009,valid,none,,,runs/A-kem512-fixed-prr0p50-rep09-seed200009-v2/cooja.log,1ed91bc28df172d6071581e70a4fdaefe428f1ccbf2d81e877c061709895d52f,12951,132,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep10-seed200010-v1,A-kem512-fixed-prr0p50-rep10-seed200010,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200010,valid,none,,,runs/A-kem512-fixed-prr0p50-rep10-seed200010-v1/cooja.log,99f34799cf645c7c58f45effe7d27f60ad9fa70e3a3c93d58e37ff8054904d78,13251,136,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep10-seed200010-v2,A-kem512-fixed-prr0p50-rep10-seed200010,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200010,valid,none,,,runs/A-kem512-fixed-prr0p50-rep10-seed200010-v2/cooja.log,ee3612426f3e7a25fcab2605f6eab148318f30f219fef5cb0f05beaf08352d0b,13485,138,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep11-seed200011-v1,A-kem512-fixed-prr0p50-rep11-seed200011,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200011,valid,none,,,runs/A-kem512-fixed-prr0p50-rep11-seed200011-v1/cooja.log,1fbf7c1557d9b6ef0771ea6ce891776e2d28f8ee661edf2f24cab9d0c511b9ce,12831,129,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep11-seed200011-v2,A-kem512-fixed-prr0p50-rep11-seed200011,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200011,valid,none,,,runs/A-kem512-fixed-prr0p50-rep11-seed200011-v2/cooja.log,8247d7662d3e8fbbd5e9d4a40c326de27e88edd5cf57cb10478dfb6b2304a244,15819,166,success,1,SUCCESS
A-kem512-fixed-prr0p50-rep12-seed200012-v1,A-kem512-fixed-prr0p50-rep12-seed200012,A_B1_VS_B2,COOJA_SIMULATION,512,1,fixed,0.5,,none,200012,valid,none,,,runs/A-kem512-fixed-prr0p50-rep12-seed200012-v1/cooja.log,98e04e8e184c24389be6c292872045e8f234674098bb9ef60bc8d9bfd976620b,13711,141,success,0,FAILED_PROTOCOL
A-kem512-fixed-prr0p50-rep12-seed200012-v2,A-kem512-fixed-prr0p50-rep12-seed200012,A_B1_VS_B2,COOJA_SIMULATION,512,2,fixed,0.5,,none,200012,valid,none,,,runs/A-kem512-fixed-prr0p50-rep12-seed200012-v2/cooja.log,ef2e49642d00b9ea69260545cfdee8f7c263075c869d4900dcd2ebe441d2a255,13945,143,success,0,FAILED_PROTOCOL
