run_id,paired_group,pair_group_id,comparison_arm,campaign,date,data_origin,model,target_prr,mean_bad_burst,p_gb,p_bg,forced_loss,forced_loss_mode,forced_loss_layer,forced_loss_after_radio_channel,forced_loss_source_id,forced_loss_destination_id,forced_loss_target_tag,forced_loss_last_sequence,rfrag_fragment_size,variant,variant_name,kem_level,seed,repetition,timeout_s,mac_max_retries,max_application_retries,raw_log_path,raw_log_sha256,log_size_bytes,log_line_count,parsed_until_line,parser_stop_reason,parse_status,result_class,result_basis,parser_warnings,cooja_exit_code,cooja_timed_out,run_success,exchange_success,client_success,server_success,server_completion_observed,client_server_disagreement,latency_ms,application_retries,selective_fragment_retransmissions,selective_fragment_retransmissions_scope,rfrag_retransmissions,rfrag_rto_expired,rfrag_null_ack_rx,rfrag_partial_ack_rx,rfrag_ack_tx,client_data_frag_tx,server_data_frag_tx,total_fragments_tx,fragments_tx_scope,forced_loss_injection_count,forced_loss_armed_count,forced_loss_applied_count,forced_loss_application,forced_loss_validation,client_pk_size,client_ct_size,client_pk_frags_expected,client_ct_frags_expected,client_app_attempts,client_app_retries,client_app_timeouts,client_rtt_valid,client_rtt_ticks,client_rtt_ms,client_elapsed_ticks,client_elapsed_ms,client_net_datagram_tx,client_net_datagram_rx_complete,client_net_data_frag_tx,client_net_data_frag_rx,client_net_data_bytes_tx,client_net_data_bytes_rx,client_net_rfrag_retx_tx,client_net_rfrag_ack_tx,client_net_rfrag_ack_rx,client_net_rto_expired,client_net_null_ack_rx,client_net_partial_ack_rx,client_net_full_ack_rx,server_end_reason,server_pk_valid_rx,server_pk_duplicate_rx,server_pk_invalid_rx,server_ct_tx,server_last_one_way_ms,server_net_datagram_tx,server_net_datagram_rx_complete,server_net_data_frag_tx,server_net_data_frag_rx,server_net_data_bytes_tx,server_net_data_bytes_rx,server_net_rfrag_retx_tx,server_net_rfrag_ack_tx,server_net_rfrag_ack_rx,server_net_rto_expired,client_application_retries,client_client_success,client_config_ack_first,client_config_app_retry,client_config_client_result_fallback_ticks,client_config_forced_loss,client_config_forced_loss_layer,client_config_idle_ack,client_config_kem,client_config_kem_name,client_config_max_app_retries,client_config_rfrag,client_config_role,client_config_route_acquisition_timeout_ticks,client_config_seed,client_config_variant,client_config_variant_name,client_forced_loss,client_forced_loss_layer,client_kem,client_kem_name,client_latency_ms,client_net_ctx_active_now,client_net_ctx_active_peak,client_net_ctx_alloc_fail,client_net_ctx_complete,client_net_ctx_create,client_net_ctx_ticks_closed,client_net_ctx_timeout_complete,client_net_ctx_timeout_incomplete,client_net_idle_ack_tx,client_net_kem,client_net_rfrag_ack_tx_ok,client_net_rfrag_full_ack_tx_done,client_net_rfrag_full_ack_tx_ok,client_net_role,client_net_seed,client_net_selective_fragment_retransmissions,client_net_variant,client_role,client_run_success,client_seed,client_seq,client_variant,client_variant_name,server_config_ack_first,server_config_app_retry,server_config_forced_loss,server_config_forced_loss_layer,server_config_idle_ack,server_config_kem,server_config_kem_name,server_config_rfrag,server_config_role,server_config_seed,server_config_variant,server_config_variant_name,server_forced_loss,server_forced_loss_layer,server_kem,server_kem_name,server_last_one_way_ticks,server_last_seq,server_net_ctx_active_now,server_net_ctx_active_peak,server_net_ctx_alloc_fail,server_net_ctx_complete,server_net_ctx_create,server_net_ctx_ticks_closed,server_net_ctx_timeout_complete,server_net_ctx_timeout_incomplete,server_net_idle_ack_tx,server_net_kem,server_net_null_ack_rx,server_net_partial_ack_rx,server_net_rfc4944_final_tx_done,server_net_rfc4944_final_tx_ok,server_net_rfrag_ack_tx_done,server_net_rfrag_ack_tx_ok,server_net_rfrag_full_ack_rx,server_net_rfrag_full_ack_tx_done,server_net_rfrag_full_ack_tx_ok,server_net_role,server_net_seed,server_net_selective_fragment_retransmissions,server_net_variant,server_role,server_seed,server_server_success,server_variant,server_variant_name
A-kem512-fixed-prr0p50-rep01-seed200001-v1,A-kem512-fixed-prr0p50-rep01-seed200001,A-kem512-fixed-prr0p50-rep01-seed200001,B1,A_B1_VS_B2,2026-08-18T11:21:05+00:00,COOJA_SIMULATION,fixed,0.5,,,,none,0,none,0,2,1,0,8,96,1,B1_RFC4944_NO_RECOVERY,512,200001,1,240,0,0,runs/A-kem512-fixed-prr0p50-rep01-seed200001-v1/cooja.log,5851319346b5d6166d3c83977d4699a28e87cb81ff1518e1f0959ea8b7f51b5e,12111,121,121,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,0,0,both_motes,0,0,0,0,0,9,0,9,both_motes,0,0,0,none,valid,800,768,9,9,1,0,1,0,0,0,120009,120009,1,0,9,0,862,0,0,0,0,0,0,0,0,server_fallback_no_completion,0,0,0,0,0,0,0,0,7,0,660,0,0,0,0,0,0,0,0,190000,none,none,0,512,MLKEM512,0,0,client,60000,200001,1,B1_RFC4944_NO_RECOVERY,none,none,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,0,0,0,client,200001,0,1,client,0,200001,0,1,B1_RFC4944_NO_RECOVERY,0,0,none,none,0,512,MLKEM512,0,server,200001,1,B1_RFC4944_NO_RECOVERY,none,none,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,server,200001,0,1,server,200001,0,1,B1_RFC4944_NO_RECOVERY
A-kem512-fixed-prr0p50-rep01-seed200001-v2,A-kem512-fixed-prr0p50-rep01-seed200001,A-kem512-fixed-prr0p50-rep01-seed200001,B2,A_B1_VS_B2,2026-08-18T11:21:07+00:00,COOJA_SIMULATION,fixed,0.5,,,,none,0,none,0,2,1,0,8,96,2,B2_RFRAG_FINAL_ACK,512,200001,1,240,0,0,runs/A-kem512-fixed-prr0p50-rep01-seed200001-v2/cooja.log,db3e681ef2fa24436f280ce815b77a2d67413033ab9f7e446f5470edf5e35d30,16632,167,164,client_reported_success,success,SUCCESS,client_reported_success,,0,False,1,1,1,1,1,0,1632,0,2,both_motes,5,3,0,1,5,12,11,23,both_motes,0,0,0,none,valid,800,768,9,9,1,0,0,1,1632,1632,1633,1633,1,1,12,11,1178,888,3,3,2,1,0,1,1,rfrag_full_ack_received,1,0,0,1,1387,1,1,11,9,888,872,2,2,1,2,0,1,0,0,190000,none,none,0,512,MLKEM512,0,1,client,60000,200001,2,B2_RFRAG_FINAL_ACK,none,none,512,MLKEM512,1632,1,1,0,1,1,0,0,0,0,512,1,3,1,client,200001,2,2,client,1,200001,0,2,B2_RFRAG_FINAL_ACK,0,0,none,none,0,512,MLKEM512,1,server,200001,2,B2_RFRAG_FINAL_ACK,none,none,512,MLKEM512,1387,0,1,1,0,1,1,0,0,0,0,512,0,0,0,0,2,2,1,1,1,server,200001,0,2,server,200001,1,2,B2_RFRAG_FINAL_ACK
A-kem512-fixed-prr0p50-rep02-seed200002-v1,A-kem512-fixed-prr0p50-rep02-seed200002,A-kem512-fixed-prr0p50-rep02-seed200002,B1,A_B1_VS_B2,2026-08-18T11:21:09+00:00,COOJA_SIMULATION,fixed,0.5,,,,none,0,none,0,2,1,0,8,96,1,B1_RFC4944_NO_RECOVERY,512,200002,2,240,0,0,runs/A-kem512-fixed-prr0p50-rep02-seed200002-v1/cooja.log,a5b5a55df6eeac07ba801ec50a5bff68ef1d9d1f92fdec4dd8b16ea269205b93,11089,111,111,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,0,0,both_motes,0,0,0,0,0,0,0,0,both_motes,0,0,0,none,valid,800,768,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,server_fallback_no_completion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000,none,none,0,512,MLKEM512,0,0,client,60000,200002,1,B1_RFC4944_NO_RECOVERY,none,none,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,0,0,0,client,200002,0,1,client,0,200002,0,1,B1_RFC4944_NO_RECOVERY,0,0,none,none,0,512,MLKEM512,0,server,200002,1,B1_RFC4944_NO_RECOVERY,none,none,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,server,200002,0,1,server,200002,0,1,B1_RFC4944_NO_RECOVERY
A-kem512-fixed-prr0p50-rep02-seed200002-v2,A-kem512-fixed-prr0p50-rep02-seed200002,A-kem512-fixed-prr0p50-rep02-seed200002,B2,A_B1_VS_B2,2026-08-18T11:21:12+00:00,COOJA_SIMULATION,fixed,0.5,,,,none,0,none,0,2,1,0,8,96,2,B2_RFRAG_FINAL_ACK,512,200002,2,240,0,0,runs/A-kem512-fixed-prr0p50-rep02-seed200002-v2/cooja.log,97f00f9369007f7ac89bd53605b1ea2216594fd0498cb5409fb084e73145f6fb,11323,113,113,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,0,0,both_motes,0,0,0,0,0,0,0,0,both_motes,0,0,0,none,valid,800,768,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,server_fallback_no_completion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000,none,none,0,512,MLKEM512,0,1,client,60000,200002,2,B2_RFRAG_FINAL_ACK,none,none,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,0,0,0,client,200002,0,2,client,0,200002,0,2,B2_RFRAG_FINAL_ACK,0,0,none,none,0,512,MLKEM512,1,server,200002,2,B2_RFRAG_FINAL_ACK,none,none,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,server,200002,0,2,server,200002,0,2,B2_RFRAG_FINAL_ACK
A-kem512-fixed-prr0p50-rep03-seed200003-v1,A-kem512-fixed-prr0p50-rep03-seed200003,A-kem512-fixed-prr0p50-rep03-seed200003,B1,A_B1_VS_B2,2026-08-18T11:21:14+00:00,COOJA_SIMULATION,fixed,0.5,,,,none,0,none,0,2,1,0,8,96,1,B1_RFC4944_NO_RECOVERY,512,200003,3,240,0,0,runs/A-kem512-fixed-prr0p50-rep03-seed200003-v1/cooja.log,abb1298644446d0b5d1cb5adef4d912c2eb4b6d563a4c026df7975f11bc4eb08,14608,149,149,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,0,0,both_motes,0,0,0,0,0,9,0,9,both_motes,0,0,0,none,valid,800,768,9,9,1,0,1,0,0,0,120009,120009,1,0,9,0,862,0,0,0,0,0,0,0,0,server_fallback_no_completion,0,0,0,0,0,0,0,0,8,0,761,0,0,0,0,0,0,0,0,190000,none,none,0,512,MLKEM512,0,0,client,60000,200003,1,B1_RFC4944_NO_RECOVERY,none,none,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,0,0,0,client,200003,0,1,client,0,200003,0,1,B1_RFC4944_NO_RECOVERY,0,0,none,none,0,512,MLKEM512,0,server,200003,1,B1_RFC4944_NO_RECOVERY,none,none,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,server,200003,0,1,server,200003,0,1,B1_RFC4944_NO_RECOVERY
A-kem512-fixed-prr0p50-rep03-seed200003-v2,A-kem512-fixed-prr0p50-rep03-seed200003,A-kem512-fixed-prr0p50-rep03-seed200003,B2,A_B1_VS_B2,2026-08-18T11:21:16+00:00,COOJA_SIMULATION,fixed,0.5,,,,none,0,none,0,2,1,0,8,96,2,B2_RFRAG_FINAL_ACK,512,200003,3,240,0,0,runs/A-kem512-fixed-prr0p50-rep03-seed200003-v2/cooja.log,c0ff22b0bab37cdfa7816c79de389610a3033e1eae92effe76d1e25c56d02367,15365,153,150,client_reported_success,success,SUCCESS,client_reported_success,,0,False,1,1,1,1,1,0,520,0,1,both_motes,1,0,0,1,3,10,9,19,both_motes,0,0,0,none,valid,800,768,9,9,1,0,0,1,520,520,521,521,1,1,10,9,974,840,1,1,2,0,0,1,1,rfrag_full_ack_received,1,0,0,1,269,1,1,9,9,840,872,0,2,1,0,0,1,0,0,190000,none,none,0,512,MLKEM512,0,1,client,60000,200003,2,B2_RFRAG_FINAL_ACK,none,none,512,MLKEM512,520,1,1,0,1,1,0,0,0,0,512,1,1,1,client,200003,1,2,client,1,200003,0,2,B2_RFRAG_FINAL_ACK,0,0,none,none,0,512,MLKEM512,1,server,200003,2,B2_RFRAG_FINAL_ACK,none,none,512,MLKEM512,269,0,1,1,0,1,1,0,0,0,0,512,0,0,0,0,2,1,1,1,0,server,200003,0,2,server,200003,1,2,B2_RFRAG_FINAL_ACK
A-kem512-fixed-prr0p50-rep04-seed200004-v1,A-kem512-fixed-prr0p50-rep04-seed200004,A-kem512-fixed-prr0p50-rep04-seed200004,B1,A_B1_VS_B2,2026-08-18T11:21:18+00:00,COOJA_SIMULATION,fixed,0.5,,,,none,0,none,0,2,1,0,8,96,1,B1_RFC4944_NO_RECOVERY,512,200004,4,240,0,0,runs/A-kem512-fixed-prr0p50-rep04-seed200004-v1/cooja.log,5845d0238a8d740aba113b8d1f3ca978182497224358e263977924225c9636df,11811,120,120,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,0,0,both_motes,0,0,0,0,0,0,0,0,both_motes,0,0,0,none,valid,800,768,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,server_fallback_no_completion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000,none,none,0,512,MLKEM512,0,0,client,60000,200004,1,B1_RFC4944_NO_RECOVERY,none,none,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,0,0,0,client,200004,0,1,client,0,200004,0,1,B1_RFC4944_NO_RECOVERY,0,0,none,none,0,512,MLKEM512,0,server,200004,1,B1_RFC4944_NO_RECOVERY,none,none,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,server,200004,0,1,server,200004,0,1,B1_RFC4944_NO_RECOVERY
A-kem512-fixed-prr0p50-rep04-seed200004-v2,A-kem512-fixed-prr0p50-rep04-seed200004,A-kem512-fixed-prr0p50-rep04-seed200004,B2,A_B1_VS_B2,2026-08-18T11:21:20+00:00,COOJA_SIMULATION,fixed,0.5,,,,none,0,none,0,2,1,0,8,96,2,B2_RFRAG_FINAL_ACK,512,200004,4,240,0,0,runs/A-kem512-fixed-prr0p50-rep04-seed200004-v2/cooja.log,ac22c6a882e41dcc4b0de5e96c13c839c7560f3015000aa3aaebe9b30d8dfe51,12045,122,122,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,0,0,both_motes,0,0,0,0,0,0,0,0,both_motes,0,0,0,none,valid,800,768,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,server_fallback_no_completion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000,none,none,0,512,MLKEM512,0,1,client,60000,200004,2,B2_RFRAG_FINAL_ACK,none,none,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,0,0,0,client,200004,0,2,client,0,200004,0,2,B2_RFRAG_FINAL_ACK,0,0,none,none,0,512,MLKEM512,1,server,200004,2,B2_RFRAG_FINAL_ACK,none,none,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,server,200004,0,2,server,200004,0,2,B2_RFRAG_FINAL_ACK
A-kem512-fixed-prr0p50-rep05-seed200005-v1,A-kem512-fixed-prr0p50-rep05-seed200005,A-kem512-fixed-prr0p50-rep05-seed200005,B1,A_B1_VS_B2,2026-08-18T11:21:22+00:00,COOJA_SIMULATION,fixed,0.5,,,,none,0,none,0,2,1,0,8,96,1,B1_RFC4944_NO_RECOVERY,512,200005,5,240,0,0,runs/A-kem512-fixed-prr0p50-rep05-seed200005-v1/cooja.log,92ae1a314be1ebcdaa6976895ae8f7c34388ef81bb91a7f0267e870741f1b02b,13981,144,144,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,0,0,both_motes,0,0,0,0,0,0,0,0,both_motes,0,0,0,none,valid,800,768,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,server_fallback_no_completion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000,none,none,0,512,MLKEM512,0,0,client,60000,200005,1,B1_RFC4944_NO_RECOVERY,none,none,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,0,0,0,client,200005,0,1,client,0,200005,0,1,B1_RFC4944_NO_RECOVERY,0,0,none,none,0,512,MLKEM512,0,server,200005,1,B1_RFC4944_NO_RECOVERY,none,none,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,server,200005,0,1,server,200005,0,1,B1_RFC4944_NO_RECOVERY
A-kem512-fixed-prr0p50-rep05-seed200005-v2,A-kem512-fixed-prr0p50-rep05-seed200005,A-kem512-fixed-prr0p50-rep05-seed200005,B2,A_B1_VS_B2,2026-08-18T11:21:24+00:00,COOJA_SIMULATION,fixed,0.5,,,,none,0,none,0,2,1,0,8,96,2,B2_RFRAG_FINAL_ACK,512,200005,5,240,0,0,runs/A-kem512-fixed-prr0p50-rep05-seed200005-v2/cooja.log,7e57395321c3d0c0fd7d1388f028515203687ffaa49a9efb1c17f5090321bbbe,14215,146,146,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,0,0,both_motes,0,0,0,0,0,0,0,0,both_motes,0,0,0,none,valid,800,768,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,server_fallback_no_completion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000,none,none,0,512,MLKEM512,0,1,client,60000,200005,2,B2_RFRAG_FINAL_ACK,none,none,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,0,0,0,client,200005,0,2,client,0,200005,0,2,B2_RFRAG_FINAL_ACK,0,0,none,none,0,512,MLKEM512,1,server,200005,2,B2_RFRAG_FINAL_ACK,none,none,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,server,200005,0,2,server,200005,0,2,B2_RFRAG_FINAL_ACK
