campaign,comparison_arm,kem_level,variant,variant_name,model,target_prr,mean_bad_burst,p_gb,p_bg,forced_loss,number_of_runs,client_evaluated_runs,evaluated_runs,successful_runs,success_rate,targeted_test_reached_runs,targeted_test_reached_rate,precondition_not_reached_runs,precondition_not_reached_rate,invalid_targeted_runs,mean_latency_success,median_latency_success,mean_application_retries,mean_selective_retransmissions,mean_rfrag_retransmissions,mean_rfrag_rto_expired,mean_rfrag_null_ack_rx,mean_rfrag_partial_ack_rx,mean_rfrag_ack_tx,mean_fragments_tx,forced_loss_applied_rate
A_B1_VS_B2,B1,1024,1,B1_RFC4944_NO_RECOVERY,fixed,0.5,,,,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,
A_B1_VS_B2,B1,1024,1,B1_RFC4944_NO_RECOVERY,fixed,0.85,,,,none,30,30,30,7,0.23333333333333334,,,,,,923.5714285714286,901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.043478260869565,
A_B1_VS_B2,B1,1024,1,B1_RFC4944_NO_RECOVERY,fixed,0.9,,,,none,30,30,30,10,0.3333333333333333,,,,,,932.6,923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,
A_B1_VS_B2,B1,1024,1,B1_RFC4944_NO_RECOVERY,fixed,0.95,,,,none,30,30,30,18,0.6,,,,,,933.2777777777778,919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.833333333333332,
A_B1_VS_B2,B1,1024,1,B1_RFC4944_NO_RECOVERY,fixed,1.0,,,,none,30,30,30,30,1.0,,,,,,943.7666666666667,945.0,0.0,,,,,,,,
A_B1_VS_B2,B1,1024,1,B1_RFC4944_NO_RECOVERY,gilbert,0.5,10.0,0.1,0.1,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2666666666666666,
A_B1_VS_B2,B1,1024,1,B1_RFC4944_NO_RECOVERY,gilbert,0.5,2.0,0.5,0.5,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A_B1_VS_B2,B1,1024,1,B1_RFC4944_NO_RECOVERY,gilbert,0.5,5.0,0.2,0.2,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666666666666667,
A_B1_VS_B2,B1,1024,1,B1_RFC4944_NO_RECOVERY,gilbert,0.85,10.0,0.0176470588,0.1,none,30,30,30,13,0.43333333333333335,,,,,,939.2307692307693,947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,
A_B1_VS_B2,B1,1024,1,B1_RFC4944_NO_RECOVERY,gilbert,0.85,2.0,0.0882352941,0.5,none,30,30,30,1,0.03333333333333333,,,,,,884.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.379310344827585,
A_B1_VS_B2,B1,1024,1,B1_RFC4944_NO_RECOVERY,gilbert,0.85,5.0,0.0352941176,0.2,none,30,30,30,4,0.13333333333333333,,,,,,915.5,928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76923076923077,
A_B1_VS_B2,B1,1024,1,B1_RFC4944_NO_RECOVERY,gilbert,0.9,10.0,0.0111111111,0.1,none,30,30,30,17,0.5666666666666667,,,,,,937.9411764705883,947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.846153846153846,
A_B1_VS_B2,B1,1024,1,B1_RFC4944_NO_RECOVERY,gilbert,0.9,2.0,0.0555555556,0.5,none,30,30,30,3,0.1,,,,,,933.6666666666666,949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.962962962962964,
A_B1_VS_B2,B1,1024,1,B1_RFC4944_NO_RECOVERY,gilbert,0.9,5.0,0.0222222222,0.2,none,30,30,30,10,0.3333333333333333,,,,,,921.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.05,
A_B1_VS_B2,B1,1024,1,B1_RFC4944_NO_RECOVERY,gilbert,0.95,10.0,0.0052631579,0.1,none,30,30,30,19,0.6333333333333333,,,,,,935.6842105263158,923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.818181818181818,
A_B1_VS_B2,B1,1024,1,B1_RFC4944_NO_RECOVERY,gilbert,0.95,2.0,0.0263157895,0.5,none,30,30,30,8,0.26666666666666666,,,,,,924.625,919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.590909090909092,
A_B1_VS_B2,B1,1024,1,B1_RFC4944_NO_RECOVERY,gilbert,0.95,5.0,0.0105263158,0.2,none,30,30,30,17,0.5666666666666667,,,,,,938.4117647058823,947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.153846153846153,
A_B1_VS_B2,B1,512,1,B1_RFC4944_NO_RECOVERY,fixed,0.5,,,,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,
A_B1_VS_B2,B1,512,1,B1_RFC4944_NO_RECOVERY,fixed,0.85,,,,none,30,30,30,12,0.4,,,,,,475.3333333333333,468.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,
A_B1_VS_B2,B1,512,1,B1_RFC4944_NO_RECOVERY,fixed,0.9,,,,none,30,30,30,18,0.6,,,,,,485.5,478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,
A_B1_VS_B2,B1,512,1,B1_RFC4944_NO_RECOVERY,fixed,0.95,,,,none,30,30,30,22,0.7333333333333333,,,,,,489.5,477.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,
A_B1_VS_B2,B1,512,1,B1_RFC4944_NO_RECOVERY,fixed,1.0,,,,none,30,30,30,30,1.0,,,,,,497.26666666666665,483.5,0.0,,,,,,,,
A_B1_VS_B2,B1,512,1,B1_RFC4944_NO_RECOVERY,gilbert,0.5,10.0,0.1,0.1,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,
A_B1_VS_B2,B1,512,1,B1_RFC4944_NO_RECOVERY,gilbert,0.5,2.0,0.5,0.5,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A_B1_VS_B2,B1,512,1,B1_RFC4944_NO_RECOVERY,gilbert,0.5,5.0,0.2,0.2,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,
A_B1_VS_B2,B1,512,1,B1_RFC4944_NO_RECOVERY,gilbert,0.85,10.0,0.0176470588,0.1,none,30,30,30,12,0.4,,,,,,496.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,
A_B1_VS_B2,B1,512,1,B1_RFC4944_NO_RECOVERY,gilbert,0.85,2.0,0.0882352941,0.5,none,30,30,30,3,0.1,,,,,,504.0,493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,
A_B1_VS_B2,B1,512,1,B1_RFC4944_NO_RECOVERY,gilbert,0.85,5.0,0.0352941176,0.2,none,30,30,30,7,0.23333333333333334,,,,,,501.14285714285717,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.478260869565218,
A_B1_VS_B2,B1,512,1,B1_RFC4944_NO_RECOVERY,gilbert,0.9,10.0,0.0111111111,0.1,none,30,30,30,16,0.5333333333333333,,,,,,490.6875,482.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571429,
A_B1_VS_B2,B1,512,1,B1_RFC4944_NO_RECOVERY,gilbert,0.9,2.0,0.0555555556,0.5,none,30,30,30,6,0.2,,,,,,497.3333333333333,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625,
A_B1_VS_B2,B1,512,1,B1_RFC4944_NO_RECOVERY,gilbert,0.9,5.0,0.0222222222,0.2,none,30,30,30,11,0.36666666666666664,,,,,,497.1818181818182,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.157894736842105,
A_B1_VS_B2,B1,512,1,B1_RFC4944_NO_RECOVERY,gilbert,0.95,10.0,0.0052631579,0.1,none,30,30,30,19,0.6333333333333333,,,,,,489.05263157894734,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.545454545454546,
A_B1_VS_B2,B1,512,1,B1_RFC4944_NO_RECOVERY,gilbert,0.95,2.0,0.0263157895,0.5,none,30,30,30,10,0.3333333333333333,,,,,,494.3,491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85,
A_B1_VS_B2,B1,512,1,B1_RFC4944_NO_RECOVERY,gilbert,0.95,5.0,0.0105263158,0.2,none,30,30,30,16,0.5333333333333333,,,,,,491.5625,482.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.071428571428571,
A_B1_VS_B2,B1,768,1,B1_RFC4944_NO_RECOVERY,fixed,0.5,,,,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,
A_B1_VS_B2,B1,768,1,B1_RFC4944_NO_RECOVERY,fixed,0.85,,,,none,30,30,30,8,0.26666666666666666,,,,,,667.75,657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.363636363636363,
A_B1_VS_B2,B1,768,1,B1_RFC4944_NO_RECOVERY,fixed,0.9,,,,none,30,30,30,14,0.4666666666666667,,,,,,677.3571428571429,666.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0625,
A_B1_VS_B2,B1,768,1,B1_RFC4944_NO_RECOVERY,fixed,0.95,,,,none,30,30,30,21,0.7,,,,,,672.1428571428571,666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.666666666666666,
A_B1_VS_B2,B1,768,1,B1_RFC4944_NO_RECOVERY,fixed,1.0,,,,none,30,30,30,30,1.0,,,,,,680.1666666666666,668.0,0.0,,,,,,,,
A_B1_VS_B2,B1,768,1,B1_RFC4944_NO_RECOVERY,gilbert,0.5,10.0,0.1,0.1,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7333333333333334,
A_B1_VS_B2,B1,768,1,B1_RFC4944_NO_RECOVERY,gilbert,0.5,2.0,0.5,0.5,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A_B1_VS_B2,B1,768,1,B1_RFC4944_NO_RECOVERY,gilbert,0.5,5.0,0.2,0.2,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43333333333333335,
A_B1_VS_B2,B1,768,1,B1_RFC4944_NO_RECOVERY,gilbert,0.85,10.0,0.0176470588,0.1,none,30,30,30,15,0.5,,,,,,687.8,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.933333333333334,
A_B1_VS_B2,B1,768,1,B1_RFC4944_NO_RECOVERY,gilbert,0.85,2.0,0.0882352941,0.5,none,30,30,30,1,0.03333333333333333,,,,,,619.0,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.517241379310345,
A_B1_VS_B2,B1,768,1,B1_RFC4944_NO_RECOVERY,gilbert,0.85,5.0,0.0352941176,0.2,none,30,30,30,7,0.23333333333333334,,,,,,679.4285714285714,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.260869565217392,
A_B1_VS_B2,B1,768,1,B1_RFC4944_NO_RECOVERY,gilbert,0.9,10.0,0.0111111111,0.1,none,30,30,30,18,0.6,,,,,,679.9444444444445,668.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,
A_B1_VS_B2,B1,768,1,B1_RFC4944_NO_RECOVERY,gilbert,0.9,2.0,0.0555555556,0.5,none,30,30,30,4,0.13333333333333333,,,,,,670.25,685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.884615384615385,
A_B1_VS_B2,B1,768,1,B1_RFC4944_NO_RECOVERY,gilbert,0.9,5.0,0.0222222222,0.2,none,30,30,30,13,0.43333333333333335,,,,,,685.3846153846154,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0588235294117645,
A_B1_VS_B2,B1,768,1,B1_RFC4944_NO_RECOVERY,gilbert,0.95,10.0,0.0052631579,0.1,none,30,30,30,20,0.6666666666666666,,,,,,678.35,667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,
A_B1_VS_B2,B1,768,1,B1_RFC4944_NO_RECOVERY,gilbert,0.95,2.0,0.0263157895,0.5,none,30,30,30,10,0.3333333333333333,,,,,,669.8,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,
A_B1_VS_B2,B1,768,1,B1_RFC4944_NO_RECOVERY,gilbert,0.95,5.0,0.0105263158,0.2,none,30,30,30,18,0.6,,,,,,680.5,668.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.416666666666667,
A_B1_VS_B2,B2,1024,2,B2_RFRAG_FINAL_ACK,fixed,0.5,,,,none,30,30,30,9,0.3,,,,,,2755.6666666666665,2180.0,0.0,1.4333333333333333,2.0,0.5666666666666667,0.1,0.7333333333333333,1.7,14.466666666666667,
A_B1_VS_B2,B2,1024,2,B2_RFRAG_FINAL_ACK,fixed,0.85,,,,none,30,30,30,19,0.6333333333333333,,,,,,1304.6842105263158,1071.0,0.0,0.7,1.0,0.3,0.03333333333333333,0.4666666666666667,1.9666666666666666,23.666666666666668,
A_B1_VS_B2,B2,1024,2,B2_RFRAG_FINAL_ACK,fixed,0.9,,,,none,30,30,30,22,0.7333333333333333,,,,,,1117.4545454545455,1053.5,0.0,0.5333333333333333,0.6666666666666666,0.13333333333333333,0.03333333333333333,0.4,1.9333333333333333,26.166666666666668,
A_B1_VS_B2,B2,1024,2,B2_RFRAG_FINAL_ACK,fixed,0.95,,,,none,30,30,30,27,0.9,,,,,,1081.4074074074074,1009.0,0.0,0.3333333333333333,0.43333333333333335,0.1,0.0,0.3,2.1,31.033333333333335,
A_B1_VS_B2,B2,1024,2,B2_RFRAG_FINAL_ACK,fixed,1.0,,,,none,30,30,30,30,1.0,,,,,,990.4333333333333,986.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,
A_B1_VS_B2,B2,1024,2,B2_RFRAG_FINAL_ACK,gilbert,0.5,10.0,0.1,0.1,none,30,30,30,0,0.0,,,,,,,,0.0,1.4,1.8,0.5,0.03333333333333333,0.13333333333333333,0.3,4.633333333333334,
A_B1_VS_B2,B2,1024,2,B2_RFRAG_FINAL_ACK,gilbert,0.5,2.0,0.5,0.5,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A_B1_VS_B2,B2,1024,2,B2_RFRAG_FINAL_ACK,gilbert,0.5,5.0,0.2,0.2,none,30,30,30,0,0.0,,,,,,,,0.0,0.0,0.1,0.13333333333333333,0.0,0.0,0.0,0.6666666666666666,
