run_id,paired_group,pair_group_id,comparison_arm,campaign,date,data_origin,model,target_prr,mean_bad_burst,p_gb,p_bg,forced_loss,forced_loss_mode,forced_loss_layer,forced_loss_after_radio_channel,forced_loss_source_id,forced_loss_destination_id,forced_loss_target_tag,forced_loss_last_sequence,rfrag_fragment_size,variant,variant_name,kem_level,seed,repetition,timeout_s,mac_max_retries,max_application_retries,raw_log_path,raw_log_sha256,log_size_bytes,log_line_count,parsed_until_line,parser_stop_reason,parse_status,result_class,result_basis,parser_warnings,cooja_exit_code,cooja_timed_out,run_success,exchange_success,client_success,server_success,server_completion_observed,client_server_disagreement,latency_ms,application_retries,selective_fragment_retransmissions,selective_fragment_retransmissions_scope,rfrag_retransmissions,rfrag_rto_expired,rfrag_null_ack_rx,rfrag_partial_ack_rx,rfrag_ack_tx,client_data_frag_tx,server_data_frag_tx,total_fragments_tx,fragments_tx_scope,forced_loss_injection_count,forced_loss_armed_count,forced_loss_applied_count,forced_loss_application,forced_loss_validation,precondition_not_reached,targeted_test_reached,client_end_reason,client_pk_size,client_ct_size,client_pk_frags_expected,client_ct_frags_expected,client_app_attempts,client_app_retries,client_app_timeouts,client_rtt_valid,client_rtt_ticks,client_rtt_ms,client_elapsed_ticks,client_elapsed_ms,client_net_datagram_tx,client_net_datagram_rx_complete,client_net_data_frag_tx,client_net_data_frag_rx,client_net_data_bytes_tx,client_net_data_bytes_rx,client_net_rfrag_retx_tx,client_net_rfrag_ack_tx,client_net_rfrag_ack_rx,client_net_rto_expired,client_net_null_ack_rx,client_net_partial_ack_rx,client_net_full_ack_rx,server_end_reason,server_pk_valid_rx,server_pk_duplicate_rx,server_pk_invalid_rx,server_ct_tx,server_last_one_way_ms,server_net_datagram_tx,server_net_datagram_rx_complete,server_net_data_frag_tx,server_net_data_frag_rx,server_net_data_bytes_tx,server_net_data_bytes_rx,server_net_rfrag_retx_tx,server_net_rfrag_ack_tx,server_net_rfrag_ack_rx,server_net_rto_expired,client_application_retries,client_client_success,client_config_ack_first,client_config_app_retry,client_config_client_result_fallback_ticks,client_config_forced_loss,client_config_forced_loss_layer,client_config_idle_ack,client_config_kem,client_config_kem_name,client_config_max_app_retries,client_config_rfrag,client_config_role,client_config_route_acquisition_timeout_ticks,client_config_seed,client_config_variant,client_config_variant_name,client_done_success,client_forced_loss,client_forced_loss_layer,client_kem,client_kem_name,client_latency_ms,client_net_ctx_active_now,client_net_ctx_active_peak,client_net_ctx_alloc_fail,client_net_ctx_complete,client_net_ctx_create,client_net_ctx_ticks_closed,client_net_ctx_timeout_complete,client_net_ctx_timeout_incomplete,client_net_idle_ack_tx,client_net_kem,client_net_rfrag_ack_tx_ok,client_net_rfrag_full_ack_tx_done,client_net_rfrag_full_ack_tx_ok,client_net_role,client_net_seed,client_net_selective_fragment_retransmissions,client_net_variant,client_role,client_run_success,client_seed,client_seq,client_variant,client_variant_name,server_config_ack_first,server_config_app_retry,server_config_forced_loss,server_config_forced_loss_layer,server_config_idle_ack,server_config_kem,server_config_kem_name,server_config_rfrag,server_config_role,server_config_seed,server_config_variant,server_config_variant_name,server_forced_loss,server_forced_loss_layer,server_kem,server_kem_name,server_last_one_way_ticks,server_last_seq,server_net_ctx_active_now,server_net_ctx_active_peak,server_net_ctx_alloc_fail,server_net_ctx_complete,server_net_ctx_create,server_net_ctx_ticks_closed,server_net_ctx_timeout_complete,server_net_ctx_timeout_incomplete,server_net_idle_ack_tx,server_net_kem,server_net_null_ack_rx,server_net_partial_ack_rx,server_net_rfc4944_final_tx_done,server_net_rfc4944_final_tx_ok,server_net_rfrag_ack_tx_done,server_net_rfrag_ack_tx_ok,server_net_rfrag_full_ack_rx,server_net_rfrag_full_ack_tx_done,server_net_rfrag_full_ack_tx_ok,server_net_role,server_net_seed,server_net_selective_fragment_retransmissions,server_net_variant,server_role,server_seed,server_server_success,server_variant,server_variant_name
B-kem512-fixed-prr0p50-loss1-rep03-seed200003-v4,B-kem512-fixed-prr0p50-loss1-rep03-seed200003,B-kem512-fixed-prr0p50-loss1-rep03-seed200003,V2,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.5,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,200003,3,360,0,1,runs/B-kem512-fixed-prr0p50-loss1-rep03-seed200003-v4/cooja.log,b13dc014f082a678aa0055c3d4b4e60c0048849b5818a13366d8960667b75487,22008,224,224,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,0,0,both_motes,0,0,1,0,1,9,0,9,both_motes,1,1,1,applied_after_channel,valid,0,1,route_acquisition_timeout,800,768,9,9,1,0,1,0,0,0,125000,125000,1,0,9,0,872,0,0,0,1,0,1,0,0,server_fallback_no_completion,0,0,0,0,0,0,0,0,7,0,668,0,1,0,0,0,0,0,1,310000,first_fragment,receiver_after_channel,0,512,MLKEM512,1,1,client,60000,200003,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,0,0,0,client,200003,0,4,client,0,200003,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,1,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200003,4,V2_RFRAG_FINAL_ACK_APP_RETRY,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,1,1,0,0,0,server,200003,0,4,server,200003,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY
B-kem512-fixed-prr0p50-loss1-rep08-seed200008-v4,B-kem512-fixed-prr0p50-loss1-rep08-seed200008,B-kem512-fixed-prr0p50-loss1-rep08-seed200008,V2,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.5,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,200008,8,360,0,1,runs/B-kem512-fixed-prr0p50-loss1-rep08-seed200008-v4/cooja.log,981c44c871b48fe2f02f9f1a30648a24c650ba568e166729f3269b9f603ab4ca,21857,222,222,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,0,0,both_motes,0,0,1,0,1,9,0,9,both_motes,1,1,1,applied_after_channel,valid,0,1,route_acquisition_timeout,800,768,9,9,1,0,1,0,0,0,125000,125000,1,0,9,0,872,0,0,0,1,0,1,0,0,server_fallback_no_completion,0,0,0,0,0,0,0,0,6,0,566,0,1,0,0,0,0,0,1,310000,first_fragment,receiver_after_channel,0,512,MLKEM512,1,1,client,60000,200008,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,0,0,0,client,200008,0,4,client,0,200008,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,1,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200008,4,V2_RFRAG_FINAL_ACK_APP_RETRY,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,1,1,0,0,0,server,200008,0,4,server,200008,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY
B-kem512-fixed-prr0p50-loss1-rep17-seed200017-v4,B-kem512-fixed-prr0p50-loss1-rep17-seed200017,B-kem512-fixed-prr0p50-loss1-rep17-seed200017,V2,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.5,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,200017,17,360,0,1,runs/B-kem512-fixed-prr0p50-loss1-rep17-seed200017-v4/cooja.log,902357b210cda669bddc3c4ed1d17f0cceaf7be4a0d781b0947f417acaa304bc,24988,257,257,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,0,0,both_motes,1,1,1,0,1,10,0,10,both_motes,1,1,1,applied_after_channel,valid,0,1,route_acquisition_timeout,800,768,9,9,1,0,1,0,0,0,125000,125000,1,0,10,0,928,0,1,0,1,1,1,0,0,server_fallback_no_completion,0,0,0,0,0,0,0,0,7,0,668,0,1,0,0,0,0,0,1,310000,first_fragment,receiver_after_channel,0,512,MLKEM512,1,1,client,60000,200017,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,0,0,0,client,200017,0,4,client,0,200017,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,1,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200017,4,V2_RFRAG_FINAL_ACK_APP_RETRY,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,1,0,0,0,0,server,200017,0,4,server,200017,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY
B-kem512-fixed-prr0p50-loss1-rep19-seed200019-v4,B-kem512-fixed-prr0p50-loss1-rep19-seed200019,B-kem512-fixed-prr0p50-loss1-rep19-seed200019,V2,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.5,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,200019,19,360,0,1,runs/B-kem512-fixed-prr0p50-loss1-rep19-seed200019-v4/cooja.log,ffbf787186190e07242cc7f0d5ebbad068200905dca33a988dff90b10db655b3,22225,226,226,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,0,0,both_motes,1,1,1,0,2,10,0,10,both_motes,1,1,1,applied_after_channel,valid,0,1,route_acquisition_timeout,800,768,9,9,1,0,1,0,0,0,125000,125000,1,0,10,0,928,0,1,0,1,1,1,0,0,server_fallback_no_completion,0,0,0,0,0,0,0,0,8,0,724,0,2,0,0,0,0,0,1,310000,first_fragment,receiver_after_channel,0,512,MLKEM512,1,1,client,60000,200019,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,0,0,0,client,200019,0,4,client,0,200019,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,1,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200019,4,V2_RFRAG_FINAL_ACK_APP_RETRY,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,2,1,0,0,0,server,200019,0,4,server,200019,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY
B-kem512-fixed-prr0p50-loss1-rep30-seed200030-v4,B-kem512-fixed-prr0p50-loss1-rep30-seed200030,B-kem512-fixed-prr0p50-loss1-rep30-seed200030,V2,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.5,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,200030,30,360,0,1,runs/B-kem512-fixed-prr0p50-loss1-rep30-seed200030-v4/cooja.log,aad813b65ce7261d20430bc9a41c5398d635db95cf312bdcbc9d47ef94321ad7,25666,262,262,end_of_log,success_with_warnings,FAILED_PROTOCOL,client_reported_failure,"perte ciblée armée, mais le canal/radio a perdu la trame avant le hook receiver",1,True,0,0,0,0,0,0,0,1,1,both_motes,3,2,2,1,5,20,10,30,both_motes,1,1,0,radio_preempted,valid,0,1,final_application_timeout,800,768,9,9,2,1,2,0,0,0,240000,240000,2,0,20,9,1902,762,2,2,3,1,1,1,1,server_fallback_no_completion,1,0,0,1,121316,1,1,10,17,864,1642,1,3,1,1,1,0,0,1,310000,first_fragment,receiver_after_channel,0,512,MLKEM512,1,1,client,60000,200030,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,1,0,0,client,200030,1,4,client,0,200030,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,1,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200030,4,V2_RFRAG_FINAL_ACK_APP_RETRY,first_fragment,receiver_after_channel,512,MLKEM512,121316,0,0,1,0,1,1,11276,1,0,0,512,1,0,0,0,3,2,0,1,0,server,200030,0,4,server,200030,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY
B-kem512-fixed-prr0p85-loss1-rep03-seed200003-v4,B-kem512-fixed-prr0p85-loss1-rep03-seed200003,B-kem512-fixed-prr0p85-loss1-rep03-seed200003,V2,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.85,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,200003,3,360,0,1,runs/B-kem512-fixed-prr0p85-loss1-rep03-seed200003-v4/cooja.log,1ccb8d5bcd763b91ea63e899bb331d8d109b4dd113cd538b980a249c3ef912c6,21278,213,213,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,1,0,both_motes,1,1,2,0,3,18,10,28,both_motes,1,1,1,applied_after_channel,valid,0,1,final_application_timeout,800,768,9,9,2,1,2,0,0,0,240000,240000,2,0,18,8,1744,738,0,1,2,0,1,0,1,server_fallback_no_completion,1,0,0,1,120226,1,1,10,17,864,1642,1,2,1,1,1,0,0,1,310000,first_fragment,receiver_after_channel,0,512,MLKEM512,1,1,client,60000,200003,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,1,0,0,client,200003,0,4,client,0,200003,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,1,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200003,4,V2_RFRAG_FINAL_ACK_APP_RETRY,first_fragment,receiver_after_channel,512,MLKEM512,120226,0,0,1,0,1,1,10196,1,0,0,512,1,0,0,0,2,2,0,1,1,server,200003,0,4,server,200003,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY
B-kem512-fixed-prr0p85-loss1-rep30-seed200030-v4,B-kem512-fixed-prr0p85-loss1-rep30-seed200030,B-kem512-fixed-prr0p85-loss1-rep30-seed200030,V2,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.85,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,200030,30,360,0,1,runs/B-kem512-fixed-prr0p85-loss1-rep30-seed200030-v4/cooja.log,d1b0ed9b6f7d486dc91801eb5aad0c19da58182189ff613fd4b7a333e984dc85,20863,208,208,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,1,0,both_motes,0,0,2,0,3,18,9,27,both_motes,1,1,1,applied_after_channel,valid,0,1,final_application_timeout,800,768,9,9,2,1,2,0,0,0,240000,240000,2,0,18,7,1744,636,0,1,2,0,1,0,1,server_fallback_no_completion,1,0,0,1,120254,1,1,9,17,840,1642,0,2,1,0,1,0,0,1,310000,first_fragment,receiver_after_channel,0,512,MLKEM512,1,1,client,60000,200030,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,1,0,0,client,200030,0,4,client,0,200030,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,1,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200030,4,V2_RFRAG_FINAL_ACK_APP_RETRY,first_fragment,receiver_after_channel,512,MLKEM512,120254,0,0,1,0,1,1,10214,1,0,0,512,1,0,0,0,2,2,0,1,1,server,200030,0,4,server,200030,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY
B-kem512-fixed-prr0p90-loss1-rep30-seed200030-v4,B-kem512-fixed-prr0p90-loss1-rep30-seed200030,B-kem512-fixed-prr0p90-loss1-rep30-seed200030,V2,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.9,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,200030,30,360,0,1,runs/B-kem512-fixed-prr0p90-loss1-rep30-seed200030-v4/cooja.log,686ef613af1104831f2101bd3e02e254b2448bb19276e323647ce158da72c9d7,20938,209,209,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,1,0,both_motes,0,0,2,0,3,18,9,27,both_motes,1,1,1,applied_after_channel,valid,0,1,final_application_timeout,800,768,9,9,2,1,2,0,0,0,240000,240000,2,0,18,8,1744,738,0,1,2,0,1,0,1,server_fallback_no_completion,1,0,0,1,120253,1,1,9,17,840,1642,0,2,1,0,1,0,0,1,310000,first_fragment,receiver_after_channel,0,512,MLKEM512,1,1,client,60000,200030,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,1,0,0,client,200030,0,4,client,0,200030,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,1,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200030,4,V2_RFRAG_FINAL_ACK_APP_RETRY,first_fragment,receiver_after_channel,512,MLKEM512,120253,0,0,1,0,1,1,10213,1,0,0,512,1,0,0,0,2,2,0,1,1,server,200030,0,4,server,200030,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY
B-kem512-fixed-prr0p95-loss1-rep02-seed200002-v4,B-kem512-fixed-prr0p95-loss1-rep02-seed200002,B-kem512-fixed-prr0p95-loss1-rep02-seed200002,V2,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.95,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,200002,2,360,0,1,runs/B-kem512-fixed-prr0p95-loss1-rep02-seed200002-v4/cooja.log,d1197382583eb5410a29b3153f10cfe072866dc8652992861a79291f13d59909,17172,170,170,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,1,0,both_motes,0,0,2,0,2,18,0,18,both_motes,1,1,1,applied_after_channel,valid,0,1,final_application_timeout,800,768,9,9,2,1,2,0,0,0,240000,240000,2,0,18,0,1744,0,0,0,2,0,2,0,0,server_fallback_no_completion,0,0,0,0,0,0,0,0,16,0,1540,0,2,0,0,1,0,0,1,310000,first_fragment,receiver_after_channel,0,512,MLKEM512,1,1,client,60000,200002,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,0,0,0,client,200002,0,4,client,0,200002,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,1,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200002,4,V2_RFRAG_FINAL_ACK_APP_RETRY,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,2,2,0,0,0,server,200002,0,4,server,200002,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY
B-kem512-fixed-prr0p95-loss1-rep30-seed200030-v4,B-kem512-fixed-prr0p95-loss1-rep30-seed200030,B-kem512-fixed-prr0p95-loss1-rep30-seed200030,V2,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.95,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,200030,30,360,0,1,runs/B-kem512-fixed-prr0p95-loss1-rep30-seed200030-v4/cooja.log,686ef613af1104831f2101bd3e02e254b2448bb19276e323647ce158da72c9d7,20938,209,209,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,1,0,both_motes,0,0,2,0,3,18,9,27,both_motes,1,1,1,applied_after_channel,valid,0,1,final_application_timeout,800,768,9,9,2,1,2,0,0,0,240000,240000,2,0,18,8,1744,738,0,1,2,0,1,0,1,server_fallback_no_completion,1,0,0,1,120253,1,1,9,17,840,1642,0,2,1,0,1,0,0,1,310000,first_fragment,receiver_after_channel,0,512,MLKEM512,1,1,client,60000,200030,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,1,0,0,client,200030,0,4,client,0,200030,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,1,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200030,4,V2_RFRAG_FINAL_ACK_APP_RETRY,first_fragment,receiver_after_channel,512,MLKEM512,120253,0,0,1,0,1,1,10213,1,0,0,512,1,0,0,0,2,2,0,1,1,server,200030,0,4,server,200030,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY
