run_id,paired_group,campaign,data_origin,kem_level,variant,model,target_prr,mean_bad_burst,forced_loss,seed,forced_loss_validation,forced_loss_application,precondition_not_reached,targeted_test_reached,raw_log_path,raw_log_sha256,log_size_bytes,log_line_count,parse_status,run_success,result_class
B-kem512-fixed-prr0p50-loss1-rep01-seed200001-v3,B-kem512-fixed-prr0p50-loss1-rep01-seed200001,B_V1_V2_FIRST_LOSS,COOJA_SIMULATION,512,3,fixed,0.5,,first_fragment,200001,valid,applied_after_channel,0,1,runs/B-kem512-fixed-prr0p50-loss1-rep01-seed200001-v3/cooja.log,0b21a8bc0564fca429e2d8004901554a35b27bd592265b32f86216388557661a,18840,182,success,1,SUCCESS
B-kem512-fixed-prr0p50-loss1-rep01-seed200001-v4,B-kem512-fixed-prr0p50-loss1-rep01-seed200001,B_V1_V2_FIRST_LOSS,COOJA_SIMULATION,512,4,fixed,0.5,,first_fragment,200001,valid,applied_after_channel,0,1,runs/B-kem512-fixed-prr0p50-loss1-rep01-seed200001-v4/cooja.log,f0e23b7e46e12ef6bb3b4bfea3fa56b1b3221cf5b8d5a7b245329210fcf93d52,24287,242,success,1,SUCCESS
B-kem512-fixed-prr0p50-loss1-rep02-seed200002-v3,B-kem512-fixed-prr0p50-loss1-rep02-seed200002,B_V1_V2_FIRST_LOSS,COOJA_SIMULATION,512,3,fixed,0.5,,first_fragment,200002,not_reached,precondition_not_reached,1,0,runs/B-kem512-fixed-prr0p50-loss1-rep02-seed200002-v3/cooja.log,966364785cc933e0c9bff9f21bf88c95b909bf9e309f34a5bf503c5800d3bf3b,12503,121,success,0,FAILED_PROTOCOL
B-kem512-fixed-prr0p50-loss1-rep02-seed200002-v4,B-kem512-fixed-prr0p50-loss1-rep02-seed200002,B_V1_V2_FIRST_LOSS,COOJA_SIMULATION,512,4,fixed,0.5,,first_fragment,200002,not_reached,precondition_not_reached,1,0,runs/B-kem512-fixed-prr0p50-loss1-rep02-seed200002-v4/cooja.log,cda39db2af1cad0405b1146cb6bfdbef16b5340ff6a5f1f2e1efa8a7c5a9b438,12519,121,success,0,FAILED_PROTOCOL
B-kem512-fixed-prr0p50-loss1-rep03-seed200003-v3,B-kem512-fixed-prr0p50-loss1-rep03-seed200003,B_V1_V2_FIRST_LOSS,COOJA_SIMULATION,512,3,fixed,0.5,,first_fragment,200003,valid,applied_after_channel,0,1,runs/B-kem512-fixed-prr0p50-loss1-rep03-seed200003-v3/cooja.log,056554b47608aed8e2782c8246986b8dc89acc3bf42973757782c6ab4b470723,17923,172,success,1,SUCCESS
B-kem512-fixed-prr0p50-loss1-rep03-seed200003-v4,B-kem512-fixed-prr0p50-loss1-rep03-seed200003,B_V1_V2_FIRST_LOSS,COOJA_SIMULATION,512,4,fixed,0.5,,first_fragment,200003,valid,applied_after_channel,0,1,runs/B-kem512-fixed-prr0p50-loss1-rep03-seed200003-v4/cooja.log,b13dc014f082a678aa0055c3d4b4e60c0048849b5818a13366d8960667b75487,22008,224,success,0,FAILED_PROTOCOL
B-kem512-fixed-prr0p50-loss1-rep04-seed200004-v3,B-kem512-fixed-prr0p50-loss1-rep04-seed200004,B_V1_V2_FIRST_LOSS,COOJA_SIMULATION,512,3,fixed,0.5,,first_fragment,200004,not_reached,precondition_not_reached,1,0,runs/B-kem512-fixed-prr0p50-loss1-rep04-seed200004-v3/cooja.log,06726ece4325c570676914658f44bd9194e13f90ae606ba0f34e783fc465374d,13225,130,success,0,FAILED_PROTOCOL
B-kem512-fixed-prr0p50-loss1-rep04-seed200004-v4,B-kem512-fixed-prr0p50-loss1-rep04-seed200004,B_V1_V2_FIRST_LOSS,COOJA_SIMULATION,512,4,fixed,0.5,,first_fragment,200004,not_reached,precondition_not_reached,1,0,runs/B-kem512-fixed-prr0p50-loss1-rep04-seed200004-v4/cooja.log,4fecb1899e38f9930f34fa7629adf8f977e47f598666a5de5fae6715b8b7d717,13241,130,success,0,FAILED_PROTOCOL
B-kem512-fixed-prr0p50-loss1-rep05-seed200005-v3,B-kem512-fixed-prr0p50-loss1-rep05-seed200005,B_V1_V2_FIRST_LOSS,COOJA_SIMULATION,512,3,fixed,0.5,,first_fragment,200005,not_reached,precondition_not_reached,1,0,runs/B-kem512-fixed-prr0p50-loss1-rep05-seed200005-v3/cooja.log,60010406ffb585d9d215228f41911091e29839a1054de16122df4f1938b64832,19026,194,success,0,FAILED_PROTOCOL
B-kem512-fixed-prr0p50-loss1-rep05-seed200005-v4,B-kem512-fixed-prr0p50-loss1-rep05-seed200005,B_V1_V2_FIRST_LOSS,COOJA_SIMULATION,512,4,fixed,0.5,,first_fragment,200005,not_reached,precondition_not_reached,1,0,runs/B-kem512-fixed-prr0p50-loss1-rep05-seed200005-v4/cooja.log,358304f1b41b65e1314484e34cf290a224609977edbe0cf2b98710d38916e543,19042,194,success,0,FAILED_PROTOCOL
B-kem512-fixed-prr0p50-loss1-rep06-seed200006-v3,B-kem512-fixed-prr0p50-loss1-rep06-seed200006,B_V1_V2_FIRST_LOSS,COOJA_SIMULATION,512,3,fixed,0.5,,first_fragment,200006,valid,applied_after_channel,0,1,runs/B-kem512-fixed-prr0p50-loss1-rep06-seed200006-v3/cooja.log,564d932d7e772f4c8297560bde09f755a54c454a251b0e01f6276d4fb1405836,18303,176,success,1,SUCCESS
B-kem512-fixed-prr0p50-loss1-rep06-seed200006-v4,B-kem512-fixed-prr0p50-loss1-rep06-seed200006,B_V1_V2_FIRST_LOSS,COOJA_SIMULATION,512,4,fixed,0.5,,first_fragment,200006,valid,applied_after_channel,0,1,runs/B-kem512-fixed-prr0p50-loss1-rep06-seed200006-v4/cooja.log,52d3728be1284fd6998c42b87e2e46517666a678ceed765612d9e69d7e703d9c,22760,225,success,1,SUCCESS
B-kem512-fixed-prr0p50-loss1-rep07-seed200007-v3,B-kem512-fixed-prr0p50-loss1-rep07-seed200007,B_V1_V2_FIRST_LOSS,COOJA_SIMULATION,512,3,fixed,0.5,,first_fragment,200007,not_reached,precondition_not_reached,1,0,runs/B-kem512-fixed-prr0p50-loss1-rep07-seed200007-v3/cooja.log,a60a75278ea9da0e9d42f082cb4da5610d81ec5054cb42bcb9b987c28cd2d0fd,17836,181,success,0,FAILED_PROTOCOL
B-kem512-fixed-prr0p50-loss1-rep07-seed200007-v4,B-kem512-fixed-prr0p50-loss1-rep07-seed200007,B_V1_V2_FIRST_LOSS,COOJA_SIMULATION,512,4,fixed,0.5,,first_fragment,200007,not_reached,precondition_not_reached,1,0,runs/B-kem512-fixed-prr0p50-loss1-rep07-seed200007-v4/cooja.log,adb706f4d4b1137096a3d5a18d2a63c330ef18e407a98aea75d08469451acf70,17852,181,success,0,FAILED_PROTOCOL
B-kem512-fixed-prr0p50-loss1-rep08-seed200008-v3,B-kem512-fixed-prr0p50-loss1-rep08-seed200008,B_V1_V2_FIRST_LOSS,COOJA_SIMULATION,512,3,fixed,0.5,,first_fragment,200008,valid,applied_after_channel,0,1,runs/B-kem512-fixed-prr0p50-loss1-rep08-seed200008-v3/cooja.log,f2aa91099f2cdabf5ee7ef9c6be8697311ff3398e7ee50ecd2afe240fea1dbc5,18615,179,success,1,SUCCESS
