campaign,comparison_arm,kem_level,variant,variant_name,model,target_prr,mean_bad_burst,p_gb,p_bg,forced_loss,number_of_runs,client_evaluated_runs,evaluated_runs,successful_runs,success_rate,targeted_test_reached_runs,targeted_test_reached_rate,precondition_not_reached_runs,precondition_not_reached_rate,invalid_targeted_runs,mean_latency_success,median_latency_success,mean_application_retries,mean_selective_retransmissions,mean_rfrag_retransmissions,mean_rfrag_rto_expired,mean_rfrag_null_ack_rx,mean_rfrag_partial_ack_rx,mean_rfrag_ack_tx,mean_fragments_tx,forced_loss_applied_rate
B_V1_V2_FIRST_LOSS,V1,1024,3,V1_RFRAG_INITIAL_FINAL_ACK,fixed,0.5,,,,first_fragment,30,30,12,12,1.0,12,0.4,18,0.6,0,5299.5,5147.0,0.0,4.166666666666667,7.666666666666667,3.5,0.0,4.166666666666667,7.5,41.666666666666664,0.8333333333333334
B_V1_V2_FIRST_LOSS,V1,1024,3,V1_RFRAG_INITIAL_FINAL_ACK,fixed,0.85,,,,first_fragment,30,30,20,20,1.0,20,0.6666666666666666,10,0.3333333333333333,0,2627.55,2145.0,0.0,1.25,2.6,1.35,0.0,2.85,5.05,36.6,1.0
B_V1_V2_FIRST_LOSS,V1,1024,3,V1_RFRAG_INITIAL_FINAL_ACK,fixed,0.9,,,,first_fragment,30,30,23,23,1.0,23,0.7666666666666667,7,0.23333333333333334,0,2369.521739130435,2121.0,0.0,0.782608695652174,2.0,1.2173913043478262,0.0,2.608695652173913,4.782608695652174,36.0,0.9565217391304348
B_V1_V2_FIRST_LOSS,V1,1024,3,V1_RFRAG_INITIAL_FINAL_ACK,fixed,0.95,,,,first_fragment,30,30,27,27,1.0,27,0.9,3,0.1,0,2197.925925925926,2095.0,0.0,0.4444444444444444,1.5555555555555556,1.1111111111111112,0.0,2.3703703703703702,4.444444444444445,35.55555555555556,1.0
B_V1_V2_FIRST_LOSS,V1,1024,3,V1_RFRAG_INITIAL_FINAL_ACK,fixed,1.0,,,,first_fragment,30,30,30,30,1.0,30,1.0,0,0.0,0,2069.266666666667,2070.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,35.0,1.0
B_V1_V2_FIRST_LOSS,V1,1024,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.5,10.0,0.1,0.1,first_fragment,30,30,4,0,0.0,4,0.13333333333333333,26,0.8666666666666667,0,,,0.0,4.25,8.5,5.25,0.0,1.5,2.0,25.75,0.75
B_V1_V2_FIRST_LOSS,V1,1024,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.5,2.0,0.5,0.5,first_fragment,30,30,0,0,,0,0.0,30,1.0,0,,,,,,,,,,,
B_V1_V2_FIRST_LOSS,V1,1024,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.5,5.0,0.2,0.2,first_fragment,30,30,1,0,0.0,1,0.03333333333333333,29,0.9666666666666667,0,,,0.0,0.0,3.0,4.0,0.0,0.0,2.0,4.0,1.0
B_V1_V2_FIRST_LOSS,V1,1024,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.85,10.0,0.0176470588,0.1,first_fragment,30,30,20,13,0.65,20,0.6666666666666666,10,0.3333333333333333,0,2247.076923076923,2103.0,0.0,1.263157894736842,4.105263157894737,3.3684210526315788,0.0,2.1052631578947367,4.473684210526316,34.68421052631579,1.0
B_V1_V2_FIRST_LOSS,V1,1024,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.85,2.0,0.0882352941,0.5,first_fragment,30,30,15,14,0.9333333333333333,15,0.5,15,0.5,0,5262.5,4195.5,0.0,4.733333333333333,8.066666666666666,3.4,0.0,3.8,6.866666666666666,42.06666666666667,0.8666666666666667
B_V1_V2_FIRST_LOSS,V1,1024,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.85,5.0,0.0352941176,0.2,first_fragment,30,30,18,11,0.6111111111111112,18,0.6,12,0.4,0,3732.2727272727275,2219.0,0.0,3.0,5.470588235294118,2.8823529411764706,0.0,2.411764705882353,4.588235294117647,33.588235294117645,0.9444444444444444
B_V1_V2_FIRST_LOSS,V1,1024,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.9,10.0,0.0111111111,0.1,first_fragment,30,30,22,17,0.7727272727272727,22,0.7333333333333333,8,0.26666666666666666,0,2319.235294117647,2103.0,0.0,0.8181818181818182,2.909090909090909,2.3636363636363638,0.0,2.272727272727273,4.409090909090909,36.18181818181818,1.0
B_V1_V2_FIRST_LOSS,V1,1024,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.9,2.0,0.0555555556,0.5,first_fragment,30,30,19,19,1.0,19,0.6333333333333333,11,0.36666666666666664,0,4144.526315789473,3097.0,0.0,3.3157894736842106,5.473684210526316,2.1578947368421053,0.0,3.3684210526315788,5.578947368421052,39.473684210526315,0.9473684210526315
B_V1_V2_FIRST_LOSS,V1,1024,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.9,5.0,0.0222222222,0.2,first_fragment,30,30,20,15,0.75,20,0.6666666666666666,10,0.3333333333333333,0,2868.733333333333,2183.0,0.0,2.15,4.15,2.25,0.0,2.5,4.6,35.65,1.0
B_V1_V2_FIRST_LOSS,V1,1024,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.95,10.0,0.0052631579,0.1,first_fragment,30,30,24,22,0.9166666666666666,24,0.8,6,0.2,0,2171.5454545454545,2101.5,0.0,0.5217391304347826,2.0434782608695654,1.608695652173913,0.0,2.1739130434782608,4.217391304347826,35.30434782608695,1.0
B_V1_V2_FIRST_LOSS,V1,1024,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.95,2.0,0.0263157895,0.5,first_fragment,30,30,21,21,1.0,21,0.7,9,0.3,0,3317.4285714285716,2224.0,0.0,1.380952380952381,2.9523809523809526,1.5714285714285714,0.0,2.761904761904762,4.809523809523809,36.95238095238095,0.9047619047619048
B_V1_V2_FIRST_LOSS,V1,1024,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.95,5.0,0.0105263158,0.2,first_fragment,30,30,23,19,0.8260869565217391,23,0.7666666666666667,7,0.23333333333333334,0,2360.6315789473683,2104.0,0.0,1.1304347826086956,2.8260869565217392,1.8695652173913044,0.0,2.347826086956522,4.391304347826087,36.08695652173913,1.0
B_V1_V2_FIRST_LOSS,V1,512,3,V1_RFRAG_INITIAL_FINAL_ACK,fixed,0.5,,,,first_fragment,30,30,12,12,1.0,12,0.4,18,0.6,0,4434.916666666667,3803.5,0.0,2.1666666666666665,5.333333333333333,3.1666666666666665,0.0,3.6666666666666665,6.5,23.333333333333332,0.8333333333333334
B_V1_V2_FIRST_LOSS,V1,512,3,V1_RFRAG_INITIAL_FINAL_ACK,fixed,0.85,,,,first_fragment,30,30,20,20,1.0,20,0.6666666666666666,10,0.3333333333333333,0,1932.3,1612.0,0.0,0.55,1.9,1.35,0.0,2.5,4.8,19.9,1.0
B_V1_V2_FIRST_LOSS,V1,512,3,V1_RFRAG_INITIAL_FINAL_ACK,fixed,0.9,,,,first_fragment,30,30,23,23,1.0,23,0.7666666666666667,7,0.23333333333333334,0,1785.9565217391305,1596.0,0.0,0.13043478260869565,1.3478260869565217,1.2173913043478262,0.0,2.130434782608696,4.260869565217392,19.347826086956523,0.9565217391304348
B_V1_V2_FIRST_LOSS,V1,512,3,V1_RFRAG_INITIAL_FINAL_ACK,fixed,0.95,,,,first_fragment,30,30,27,27,1.0,27,0.9,3,0.1,0,1684.148148148148,1598.0,0.0,0.14814814814814814,1.2592592592592593,1.1111111111111112,0.0,2.1481481481481484,4.185185185185185,19.25925925925926,1.0
B_V1_V2_FIRST_LOSS,V1,512,3,V1_RFRAG_INITIAL_FINAL_ACK,fixed,1.0,,,,first_fragment,30,30,30,30,1.0,30,1.0,0,0.0,0,1604.0333333333333,1597.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,19.0,1.0
B_V1_V2_FIRST_LOSS,V1,512,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.5,10.0,0.1,0.1,first_fragment,30,30,4,1,0.25,4,0.13333333333333333,26,0.8666666666666667,0,7855.0,7855.0,0.0,0.0,4.0,5.0,0.0,0.6666666666666666,1.0,10.333333333333334,0.75
B_V1_V2_FIRST_LOSS,V1,512,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.5,2.0,0.5,0.5,first_fragment,30,30,0,0,,0,0.0,30,1.0,0,,,,,,,,,,,
B_V1_V2_FIRST_LOSS,V1,512,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.5,5.0,0.2,0.2,first_fragment,30,30,1,0,0.0,1,0.03333333333333333,29,0.9666666666666667,0,,,0.0,0.0,3.0,4.0,0.0,0.0,2.0,4.0,1.0
B_V1_V2_FIRST_LOSS,V1,512,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.85,10.0,0.0176470588,0.1,first_fragment,30,30,20,15,0.75,20,0.6666666666666666,10,0.3333333333333333,0,1827.6666666666667,1659.0,0.0,0.5263157894736842,2.9473684210526314,2.789473684210526,0.0,2.0,4.421052631578948,19.210526315789473,1.0
B_V1_V2_FIRST_LOSS,V1,512,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.85,2.0,0.0882352941,0.5,first_fragment,30,30,15,14,0.9333333333333333,15,0.5,15,0.5,0,3833.714285714286,2625.0,0.0,1.4,4.466666666666667,3.1333333333333333,0.0,2.8,5.666666666666667,21.933333333333334,0.8666666666666667
B_V1_V2_FIRST_LOSS,V1,512,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.85,5.0,0.0352941176,0.2,first_fragment,30,30,18,13,0.7222222222222222,18,0.6,12,0.4,0,3649.5384615384614,1659.0,0.0,0.7222222222222222,3.5,3.0555555555555554,0.0,1.8888888888888888,4.222222222222222,18.61111111111111,0.9444444444444444
B_V1_V2_FIRST_LOSS,V1,512,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.9,10.0,0.0111111111,0.1,first_fragment,30,30,22,20,0.9090909090909091,22,0.7333333333333333,8,0.26666666666666666,0,1885.65,1618.5,0.0,0.6666666666666666,2.0952380952380953,1.5238095238095237,0.0,2.1904761904761907,4.333333333333333,19.714285714285715,1.0
B_V1_V2_FIRST_LOSS,V1,512,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.9,2.0,0.0555555556,0.5,first_fragment,30,30,19,18,0.9473684210526315,19,0.6333333333333333,11,0.36666666666666664,0,3332.777777777778,1741.0,0.0,1.0526315789473684,3.4210526315789473,2.4210526315789473,0.0,2.6315789473684212,4.894736842105263,20.94736842105263,0.9473684210526315
B_V1_V2_FIRST_LOSS,V1,512,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.9,5.0,0.0222222222,0.2,first_fragment,30,30,20,16,0.8,20,0.6666666666666666,10,0.3333333333333333,0,2119.75,1614.5,0.0,0.5,2.15,1.85,0.0,2.0,3.75,18.4,1.0
B_V1_V2_FIRST_LOSS,V1,512,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.95,10.0,0.0052631579,0.1,first_fragment,30,30,24,21,0.875,24,0.8,6,0.2,0,1613.047619047619,1598.0,0.0,0.25,1.625,1.5,0.0,2.0,4.0,18.916666666666668,1.0
B_V1_V2_FIRST_LOSS,V1,512,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.95,2.0,0.0263157895,0.5,first_fragment,30,30,21,20,0.9523809523809523,21,0.7,9,0.3,0,2777.65,1634.0,0.0,0.38095238095238093,2.1904761904761907,1.8571428571428572,0.0,2.238095238095238,4.285714285714286,19.761904761904763,0.9047619047619048
B_V1_V2_FIRST_LOSS,V1,512,3,V1_RFRAG_INITIAL_FINAL_ACK,gilbert,0.95,5.0,0.0105263158,0.2,first_fragment,30,30,23,21,0.9130434782608695,23,0.7666666666666667,7,0.23333333333333334,0,1784.857142857143,1614.0,0.0,1.0,2.347826086956522,1.434782608695652,0.0,2.217391304347826,4.086956521739131,19.956521739130434,1.0
B_V1_V2_FIRST_LOSS,V1,768,3,V1_RFRAG_INITIAL_FINAL_ACK,fixed,0.5,,,,first_fragment,30,30,12,11,0.9166666666666666,12,0.4,18,0.6,0,4043.0,3956.0,0.0,2.8333333333333335,5.25,2.5,0.0,3.5,5.916666666666667,29.25,0.8333333333333334
