run_id,paired_group,pair_group_id,comparison_arm,campaign,date,data_origin,model,target_prr,mean_bad_burst,p_gb,p_bg,forced_loss,forced_loss_mode,forced_loss_layer,forced_loss_after_radio_channel,forced_loss_source_id,forced_loss_destination_id,forced_loss_target_tag,forced_loss_last_sequence,rfrag_fragment_size,variant,variant_name,kem_level,seed,repetition,timeout_s,mac_max_retries,max_application_retries,raw_log_path,raw_log_sha256,log_size_bytes,log_line_count,parsed_until_line,parser_stop_reason,parse_status,result_class,result_basis,parser_warnings,cooja_exit_code,cooja_timed_out,run_success,exchange_success,client_success,server_success,server_completion_observed,client_server_disagreement,latency_ms,application_retries,selective_fragment_retransmissions,selective_fragment_retransmissions_scope,rfrag_retransmissions,rfrag_rto_expired,rfrag_null_ack_rx,rfrag_partial_ack_rx,rfrag_ack_tx,client_data_frag_tx,server_data_frag_tx,total_fragments_tx,fragments_tx_scope,forced_loss_injection_count,forced_loss_armed_count,forced_loss_applied_count,forced_loss_application,forced_loss_validation,precondition_not_reached,targeted_test_reached,client_end_reason,client_pk_size,client_ct_size,client_pk_frags_expected,client_ct_frags_expected,client_app_attempts,client_app_retries,client_app_timeouts,client_rtt_valid,client_rtt_ticks,client_rtt_ms,client_elapsed_ticks,client_elapsed_ms,client_net_datagram_tx,client_net_datagram_rx_complete,client_net_data_frag_tx,client_net_data_frag_rx,client_net_data_bytes_tx,client_net_data_bytes_rx,client_net_rfrag_retx_tx,client_net_rfrag_ack_tx,client_net_rfrag_ack_rx,client_net_rto_expired,client_net_null_ack_rx,client_net_partial_ack_rx,client_net_full_ack_rx,server_end_reason,server_pk_valid_rx,server_pk_duplicate_rx,server_pk_invalid_rx,server_ct_tx,server_last_one_way_ms,server_net_datagram_tx,server_net_datagram_rx_complete,server_net_data_frag_tx,server_net_data_frag_rx,server_net_data_bytes_tx,server_net_data_bytes_rx,server_net_rfrag_retx_tx,server_net_rfrag_ack_tx,server_net_rfrag_ack_rx,server_net_rto_expired,client_application_retries,client_client_success,client_config_ack_first,client_config_app_retry,client_config_client_result_fallback_ticks,client_config_forced_loss,client_config_forced_loss_layer,client_config_idle_ack,client_config_kem,client_config_kem_name,client_config_max_app_retries,client_config_rfrag,client_config_role,client_config_route_acquisition_timeout_ticks,client_config_seed,client_config_variant,client_config_variant_name,client_done_success,client_forced_loss,client_forced_loss_layer,client_kem,client_kem_name,client_latency_ms,client_net_ctx_active_now,client_net_ctx_active_peak,client_net_ctx_alloc_fail,client_net_ctx_complete,client_net_ctx_create,client_net_ctx_ticks_closed,client_net_ctx_timeout_complete,client_net_ctx_timeout_incomplete,client_net_idle_ack_tx,client_net_kem,client_net_rfrag_ack_tx_ok,client_net_rfrag_full_ack_tx_done,client_net_rfrag_full_ack_tx_ok,client_net_role,client_net_seed,client_net_selective_fragment_retransmissions,client_net_variant,client_role,client_run_success,client_seed,client_seq,client_variant,client_variant_name,server_config_ack_first,server_config_app_retry,server_config_forced_loss,server_config_forced_loss_layer,server_config_idle_ack,server_config_kem,server_config_kem_name,server_config_rfrag,server_config_role,server_config_seed,server_config_variant,server_config_variant_name,server_forced_loss,server_forced_loss_layer,server_kem,server_kem_name,server_last_one_way_ticks,server_last_seq,server_net_ctx_active_now,server_net_ctx_active_peak,server_net_ctx_alloc_fail,server_net_ctx_complete,server_net_ctx_create,server_net_ctx_ticks_closed,server_net_ctx_timeout_complete,server_net_ctx_timeout_incomplete,server_net_idle_ack_tx,server_net_kem,server_net_null_ack_rx,server_net_partial_ack_rx,server_net_rfc4944_final_tx_done,server_net_rfc4944_final_tx_ok,server_net_rfrag_ack_tx_done,server_net_rfrag_ack_tx_ok,server_net_rfrag_full_ack_rx,server_net_rfrag_full_ack_tx_done,server_net_rfrag_full_ack_tx_ok,server_net_role,server_net_seed,server_net_selective_fragment_retransmissions,server_net_variant,server_role,server_seed,server_server_success,server_variant,server_variant_name
B-kem512-fixed-prr0p50-loss1-rep01-seed200001-v3,B-kem512-fixed-prr0p50-loss1-rep01-seed200001,B-kem512-fixed-prr0p50-loss1-rep01-seed200001,V1,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.5,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,3,V1_RFRAG_INITIAL_FINAL_ACK,512,200001,1,360,0,0,runs/B-kem512-fixed-prr0p50-loss1-rep01-seed200001-v3/cooja.log,0b21a8bc0564fca429e2d8004901554a35b27bd592265b32f86216388557661a,18840,182,179,client_reported_success,success,SUCCESS,client_reported_success,,0,False,1,1,1,1,1,0,5790,0,2,both_motes,6,4,0,4,6,13,11,24,both_motes,1,1,1,applied_after_channel,valid,0,1,rfrag_full_ack_mac_ok,800,768,9,9,1,0,0,1,5790,5790,5791,5791,1,1,13,9,1234,840,4,3,3,3,0,2,1,rfrag_full_ack_received,1,0,0,1,4457,1,1,11,9,966,872,2,3,3,1,0,1,1,0,190000,first_fragment,receiver_after_channel,0,512,MLKEM512,0,1,client,60000,200001,3,V1_RFRAG_FIRST_FINAL_ACK,1,first_fragment,receiver_after_channel,512,MLKEM512,5790,1,1,0,1,1,0,0,0,0,512,3,1,1,client,200001,1,3,client,1,200001,0,3,V1_RFRAG_FIRST_FINAL_ACK,1,0,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200001,3,V1_RFRAG_FIRST_FINAL_ACK,first_fragment,receiver_after_channel,512,MLKEM512,4457,0,1,1,0,1,1,0,0,0,0,512,0,2,0,0,3,2,1,1,1,server,200001,1,3,server,200001,1,3,V1_RFRAG_FIRST_FINAL_ACK
B-kem512-fixed-prr0p50-loss1-rep01-seed200001-v4,B-kem512-fixed-prr0p50-loss1-rep01-seed200001,B-kem512-fixed-prr0p50-loss1-rep01-seed200001,V2,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.5,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,200001,1,360,0,1,runs/B-kem512-fixed-prr0p50-loss1-rep01-seed200001-v4/cooja.log,f0e23b7e46e12ef6bb3b4bfea3fa56b1b3221cf5b8d5a7b245329210fcf93d52,24287,242,239,client_reported_success,success,SUCCESS,client_reported_success,,0,False,1,1,1,1,1,0,122699,1,3,both_motes,6,3,1,2,6,22,11,33,both_motes,1,1,1,applied_after_channel,valid,0,1,rfrag_full_ack_mac_ok,800,768,9,9,2,1,1,1,122699,122699,122700,122700,2,1,22,9,2106,840,4,2,3,2,1,1,1,rfrag_full_ack_received,1,0,0,1,121393,1,1,11,16,1044,1540,2,4,2,1,1,1,0,1,310000,first_fragment,receiver_after_channel,0,512,MLKEM512,1,1,client,60000,200001,4,V2_RFRAG_FINAL_ACK_APP_RETRY,1,first_fragment,receiver_after_channel,512,MLKEM512,122699,1,1,0,1,1,0,0,0,0,512,2,1,1,client,200001,2,4,client,1,200001,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,1,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200001,4,V2_RFRAG_FINAL_ACK_APP_RETRY,first_fragment,receiver_after_channel,512,MLKEM512,121393,0,1,1,0,1,1,0,0,0,0,512,0,1,0,0,4,3,1,2,1,server,200001,1,4,server,200001,1,4,V2_RFRAG_FINAL_ACK_APP_RETRY
B-kem512-fixed-prr0p50-loss1-rep03-seed200003-v3,B-kem512-fixed-prr0p50-loss1-rep03-seed200003,B-kem512-fixed-prr0p50-loss1-rep03-seed200003,V1,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.5,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,3,V1_RFRAG_INITIAL_FINAL_ACK,512,200003,3,360,0,0,runs/B-kem512-fixed-prr0p50-loss1-rep03-seed200003-v3/cooja.log,056554b47608aed8e2782c8246986b8dc89acc3bf42973757782c6ab4b470723,17923,172,169,client_reported_success,success,SUCCESS,client_reported_success,,0,False,1,1,1,1,1,0,2615,0,1,both_motes,3,2,0,3,5,11,10,21,both_motes,1,1,1,applied_after_channel,valid,0,1,rfrag_protocol_end_timeout,800,768,9,9,1,0,0,1,2615,2615,2616,2616,1,1,11,9,1076,840,2,2,3,1,0,2,1,rfrag_full_ack_received,1,0,0,1,1303,1,1,10,9,864,872,1,3,2,1,0,1,1,0,190000,first_fragment,receiver_after_channel,0,512,MLKEM512,0,1,client,60000,200003,3,V1_RFRAG_FIRST_FINAL_ACK,1,first_fragment,receiver_after_channel,512,MLKEM512,2615,1,1,0,1,1,0,0,0,0,512,1,1,0,client,200003,1,3,client,1,200003,0,3,V1_RFRAG_FIRST_FINAL_ACK,1,0,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200003,3,V1_RFRAG_FIRST_FINAL_ACK,first_fragment,receiver_after_channel,512,MLKEM512,1303,0,1,1,0,1,1,0,0,0,0,512,0,1,0,0,3,1,1,1,1,server,200003,0,3,server,200003,1,3,V1_RFRAG_FIRST_FINAL_ACK
B-kem512-fixed-prr0p50-loss1-rep03-seed200003-v4,B-kem512-fixed-prr0p50-loss1-rep03-seed200003,B-kem512-fixed-prr0p50-loss1-rep03-seed200003,V2,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.5,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,200003,3,360,0,1,runs/B-kem512-fixed-prr0p50-loss1-rep03-seed200003-v4/cooja.log,b13dc014f082a678aa0055c3d4b4e60c0048849b5818a13366d8960667b75487,22008,224,224,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,0,0,both_motes,0,0,1,0,1,9,0,9,both_motes,1,1,1,applied_after_channel,valid,0,1,route_acquisition_timeout,800,768,9,9,1,0,1,0,0,0,125000,125000,1,0,9,0,872,0,0,0,1,0,1,0,0,server_fallback_no_completion,0,0,0,0,0,0,0,0,7,0,668,0,1,0,0,0,0,0,1,310000,first_fragment,receiver_after_channel,0,512,MLKEM512,1,1,client,60000,200003,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,0,0,0,client,200003,0,4,client,0,200003,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,1,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200003,4,V2_RFRAG_FINAL_ACK_APP_RETRY,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,1,1,0,0,0,server,200003,0,4,server,200003,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY
B-kem512-fixed-prr0p50-loss1-rep06-seed200006-v3,B-kem512-fixed-prr0p50-loss1-rep06-seed200006,B-kem512-fixed-prr0p50-loss1-rep06-seed200006,V1,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.5,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,3,V1_RFRAG_INITIAL_FINAL_ACK,512,200006,6,360,0,0,runs/B-kem512-fixed-prr0p50-loss1-rep06-seed200006-v3/cooja.log,564d932d7e772f4c8297560bde09f755a54c454a251b0e01f6276d4fb1405836,18303,176,173,client_reported_success,success,SUCCESS,client_reported_success,,0,False,1,1,1,1,1,0,2690,0,2,both_motes,4,2,0,4,6,12,10,22,both_motes,1,1,1,applied_after_channel,valid,0,1,rfrag_full_ack_mac_ok,800,768,9,9,1,0,0,1,2690,2690,2691,2691,1,1,12,9,1178,840,3,3,3,2,0,2,1,rfrag_full_ack_received,1,0,0,1,2309,1,1,10,9,942,872,1,3,3,0,0,1,1,0,190000,first_fragment,receiver_after_channel,0,512,MLKEM512,0,1,client,60000,200006,3,V1_RFRAG_FIRST_FINAL_ACK,1,first_fragment,receiver_after_channel,512,MLKEM512,2690,1,1,0,1,1,0,0,0,0,512,2,1,1,client,200006,1,3,client,1,200006,0,3,V1_RFRAG_FIRST_FINAL_ACK,1,0,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200006,3,V1_RFRAG_FIRST_FINAL_ACK,first_fragment,receiver_after_channel,512,MLKEM512,2309,0,1,1,0,1,1,0,0,0,0,512,0,2,0,0,3,3,1,1,1,server,200006,1,3,server,200006,1,3,V1_RFRAG_FIRST_FINAL_ACK
B-kem512-fixed-prr0p50-loss1-rep06-seed200006-v4,B-kem512-fixed-prr0p50-loss1-rep06-seed200006,B-kem512-fixed-prr0p50-loss1-rep06-seed200006,V2,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.5,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,200006,6,360,0,1,runs/B-kem512-fixed-prr0p50-loss1-rep06-seed200006-v4/cooja.log,52d3728be1284fd6998c42b87e2e46517666a678ceed765612d9e69d7e703d9c,22760,225,222,client_reported_success,success,SUCCESS,client_reported_success,,0,False,1,1,1,1,1,0,122683,1,2,both_motes,5,3,1,2,6,20,12,32,both_motes,1,1,1,applied_after_channel,valid,0,1,rfrag_full_ack_mac_ok,800,768,9,9,2,1,1,1,122683,122683,122684,122684,2,1,20,9,1902,840,2,2,3,1,1,1,1,rfrag_full_ack_received,1,0,0,1,120354,1,1,12,18,1068,1698,3,4,2,2,1,1,0,1,310000,first_fragment,receiver_after_channel,0,512,MLKEM512,1,1,client,60000,200006,4,V2_RFRAG_FINAL_ACK_APP_RETRY,1,first_fragment,receiver_after_channel,512,MLKEM512,122683,1,1,0,1,1,0,0,0,0,512,1,1,1,client,200006,1,4,client,1,200006,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,1,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200006,4,V2_RFRAG_FINAL_ACK_APP_RETRY,first_fragment,receiver_after_channel,512,MLKEM512,120354,0,1,1,0,1,1,0,0,0,0,512,0,1,0,0,4,3,1,1,1,server,200006,1,4,server,200006,1,4,V2_RFRAG_FINAL_ACK_APP_RETRY
B-kem512-fixed-prr0p50-loss1-rep08-seed200008-v3,B-kem512-fixed-prr0p50-loss1-rep08-seed200008,B-kem512-fixed-prr0p50-loss1-rep08-seed200008,V1,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.5,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,3,V1_RFRAG_INITIAL_FINAL_ACK,512,200008,8,360,0,0,runs/B-kem512-fixed-prr0p50-loss1-rep08-seed200008-v3/cooja.log,f2aa91099f2cdabf5ee7ef9c6be8697311ff3398e7ee50ecd2afe240fea1dbc5,18615,179,176,client_reported_success,success,SUCCESS,client_reported_success,,0,False,1,1,1,1,1,0,5721,0,1,both_motes,5,4,0,3,6,13,10,23,both_motes,1,1,1,applied_after_channel,valid,0,1,rfrag_full_ack_mac_ok,800,768,9,9,1,0,0,1,5721,5721,5722,5722,1,1,13,9,1234,840,4,2,3,3,0,2,1,rfrag_full_ack_received,1,0,0,1,4439,1,1,10,10,942,974,1,4,2,1,0,1,1,0,190000,first_fragment,receiver_after_channel,0,512,MLKEM512,0,1,client,60000,200008,3,V1_RFRAG_FIRST_FINAL_ACK,1,first_fragment,receiver_after_channel,512,MLKEM512,5721,1,1,0,1,1,0,0,0,0,512,2,1,1,client,200008,1,3,client,1,200008,0,3,V1_RFRAG_FIRST_FINAL_ACK,1,0,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200008,3,V1_RFRAG_FIRST_FINAL_ACK,first_fragment,receiver_after_channel,512,MLKEM512,4439,0,1,1,0,1,1,0,0,0,0,512,0,1,0,0,4,3,1,1,1,server,200008,0,3,server,200008,1,3,V1_RFRAG_FIRST_FINAL_ACK
B-kem512-fixed-prr0p50-loss1-rep08-seed200008-v4,B-kem512-fixed-prr0p50-loss1-rep08-seed200008,B-kem512-fixed-prr0p50-loss1-rep08-seed200008,V2,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.5,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,200008,8,360,0,1,runs/B-kem512-fixed-prr0p50-loss1-rep08-seed200008-v4/cooja.log,981c44c871b48fe2f02f9f1a30648a24c650ba568e166729f3269b9f603ab4ca,21857,222,222,end_of_log,success,FAILED_PROTOCOL,client_reported_failure,,1,True,0,0,0,0,0,0,0,0,0,both_motes,0,0,1,0,1,9,0,9,both_motes,1,1,1,applied_after_channel,valid,0,1,route_acquisition_timeout,800,768,9,9,1,0,1,0,0,0,125000,125000,1,0,9,0,872,0,0,0,1,0,1,0,0,server_fallback_no_completion,0,0,0,0,0,0,0,0,6,0,566,0,1,0,0,0,0,0,1,310000,first_fragment,receiver_after_channel,0,512,MLKEM512,1,1,client,60000,200008,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,512,0,0,0,client,200008,0,4,client,0,200008,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,1,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200008,4,V2_RFRAG_FINAL_ACK_APP_RETRY,first_fragment,receiver_after_channel,512,MLKEM512,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,1,1,0,0,0,server,200008,0,4,server,200008,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY
B-kem512-fixed-prr0p50-loss1-rep11-seed200011-v3,B-kem512-fixed-prr0p50-loss1-rep11-seed200011,B-kem512-fixed-prr0p50-loss1-rep11-seed200011,V1,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.5,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,3,V1_RFRAG_INITIAL_FINAL_ACK,512,200011,11,360,0,0,runs/B-kem512-fixed-prr0p50-loss1-rep11-seed200011-v3/cooja.log,61e9ff4f59e64f8bc1d74207d4be852b07d584eb47d3349011847107b3555786,19853,193,190,client_reported_success,success,SUCCESS,client_reported_success,,0,False,1,1,1,1,1,0,6932,0,3,both_motes,7,4,0,4,7,12,13,25,both_motes,1,1,1,applied_after_channel,valid,0,1,rfrag_full_ack_mac_ok,800,768,9,9,1,0,0,1,6932,6932,6933,6933,1,1,12,10,1178,864,3,4,3,2,0,2,1,rfrag_full_ack_received,1,0,0,1,3461,1,1,13,9,1092,872,4,3,3,2,0,1,1,0,190000,first_fragment,receiver_after_channel,0,512,MLKEM512,0,1,client,60000,200011,3,V1_RFRAG_FIRST_FINAL_ACK,1,first_fragment,receiver_after_channel,512,MLKEM512,6932,1,1,0,1,1,0,0,0,0,512,3,1,1,client,200011,1,3,client,1,200011,0,3,V1_RFRAG_FIRST_FINAL_ACK,1,0,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200011,3,V1_RFRAG_FIRST_FINAL_ACK,first_fragment,receiver_after_channel,512,MLKEM512,3461,0,1,1,0,1,1,0,0,0,0,512,0,2,0,0,3,3,1,1,1,server,200011,2,3,server,200011,1,3,V1_RFRAG_FIRST_FINAL_ACK
B-kem512-fixed-prr0p50-loss1-rep11-seed200011-v4,B-kem512-fixed-prr0p50-loss1-rep11-seed200011,B-kem512-fixed-prr0p50-loss1-rep11-seed200011,V2,B_V1_V2_FIRST_LOSS,2026-08-19T02:33:47+00:00,COOJA_SIMULATION,fixed,0.5,,,,first_fragment,1,receiver_after_channel,1,2,1,0,8,96,4,V2_RFRAG_FINAL_ACK_APP_RETRY,512,200011,11,360,0,1,runs/B-kem512-fixed-prr0p50-loss1-rep11-seed200011-v4/cooja.log,7572def615611cf311fc02a45f70978a9faf813077cfc05e7406b6e88f4e3b85,24079,239,236,client_reported_success,success,SUCCESS,client_reported_success,,0,False,1,1,1,1,1,0,127665,1,1,both_motes,5,4,1,1,6,22,10,32,both_motes,1,1,1,applied_after_channel,valid,0,1,rfrag_protocol_end_timeout,800,768,9,9,2,1,1,1,127665,127665,127666,127666,2,1,22,10,2014,864,4,2,3,3,1,1,1,rfrag_full_ack_received,1,0,0,1,127375,1,1,10,16,864,1494,1,4,1,1,1,1,0,1,310000,first_fragment,receiver_after_channel,0,512,MLKEM512,1,1,client,60000,200011,4,V2_RFRAG_FINAL_ACK_APP_RETRY,1,first_fragment,receiver_after_channel,512,MLKEM512,127665,1,1,0,1,1,0,0,0,0,512,0,2,0,client,200011,1,4,client,1,200011,0,4,V2_RFRAG_FINAL_ACK_APP_RETRY,0,1,first_fragment,receiver_after_channel,0,512,MLKEM512,1,server,200011,4,V2_RFRAG_FINAL_ACK_APP_RETRY,first_fragment,receiver_after_channel,512,MLKEM512,127375,0,1,1,0,1,1,0,0,0,0,512,0,0,0,0,4,3,1,1,1,server,200011,0,4,server,200011,1,4,V2_RFRAG_FINAL_ACK_APP_RETRY
